index,name,line
2,Morty,"I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!"
3,Summer,"Then you've been doing it wrong for six months. Oh, my God, is that mildew?"
4,Morty,It's not my fault we froze time on a humid day!
5,Summer,"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?"
6,Morty,What? What kind of monster are you?
7,Summer,A competent one.
8,Rick,Who cares about the *belch* thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.
9,Rick,"Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize."
10,Morty,Our time is gonna be unstable? What does that even mean?
11,Rick,"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards."
12,Morty,"Wait a minute, what?"
13,Rick,And away we go!
14,Morty,"Uh, did we ever put that mattress under Mr. Benson?"
15,Rick,"Shhh, Morty!"
16,Jerry,"...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed."
17,Rick,"Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety."
18,Beth,"Hi, dad."
19,Beth,"Summer, Morty, are you okay?"
20,Morty,W-We just missed you a lot.
21,Summer,"Yeah, we missed you so much. Too much to hug you though."
22,Rick,"Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free Sundae ice cream, (Rick puts a rubber band around a rolled up wad of cash) go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts."
23,Jerry,"This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket."
24,Beth,"Sweety, is your shirt on backwards?"
25,Summer,*Gasp* 
26,Morty,Oh!
27,Rick,Uh oh.
28,Jerry,"Yeah, I like it this way. I'm not stupid."
29,Morty,Phew...
30,Summer,*Exhales*
31,Rick," Man that guy is the Red Grin Grumble to pretending he knows what's going on. (Morty and Summer laugh) Oh you agree, huh? (Summer"
32,Summer,"God, I feel terrible."
33,Rick,"Yup, it really makes you appreciate how fickle the universe can be. (Rick opens refrigerator) [Trans. Inside refrigerator] One minute you're falling off a roof for six months, the next minute, bam!"
34,Morty,"Uh, just to be clear, it was Summer's job to put the mattress under-"
35,Summer,"(interrupting) Uh, what? It was your job, Morty. (Summer pokes Morty.)"
36,Morty,Nuh uh!
37,Summer,Yeah huh!
38,Rick,"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson."
39,Morty,"Boom! In your face Summer! You really dropped the ball, man."
40,Summer,"Shut up Morty, you vindictive little turd!"
41,Morty,You shut up you big... female asshole!
42,Alternate Morty,"Hey, don't shove me!"
43,Summer,I didn't!
44,Morty,You didn't what?
45,Alternate Summer,What's your problem?
46,Morty,What's yours?
47,Alternate Summer,Shut up!
48,Morty,You shut up!
49,Rick,Whoa whoa wh-what the hell hell hell hell hell?
50,Both Ricks,"Oh God, oh no, what did you guys just do?"
51,Summer 1,What do you mean?
52,Summer 2,What could we do?
53,BothAll Summers,"Wait, what am I saying?"
54,Both Rick,*belch* Were either of you guys uncertain about anything just now?
55,BothAll Mortys,Oh man... I don't feel good.
56,Morty 1,Am I me? I think so.
57,Morty 2,A-am I talking right now?
58,BothAll Mortys,"Wait, who said that?"
59,BothAll Ricks,"Alright both of you, just don't move, don't speak, don't think. I have to check something. "
60,Summer 1,What should we do Morty?
61,Summer 2,I'm gonna help Grampa.
62,Morty 1,Let's see if he needs help.
63,Morty 2,What do you mean you're gonna help him.
64,Summer 1,"Ugh, I can help too."
65,BothAll Mortys,What's going on Rick?
66,BothAll Summers,What's happening Grampa?
67,BothAll Ricks,Shut up! (Rick turns on a monitor) Oh crap are you kidding me? Two dots? This never needs to be more than one dot. The two of you made us uncertain!
68,Morty 1,What do you mean?
69,Morty 2,What? In English?
70,Summer 1,What? English please?
71,Summer 2,What are you talking about?
