index,name,line
0,Jerry,*singing* Last King Christmas last arrived!
1,Jerry,"*singing* In the Christmas Christmas! *stops singing and smells the ham* Mmm... Jerry, you are really giving it to this ham."
2,Jerry,"Um, Merry Christmas? *puts his hands on his hips* Helloooo? My parents are coming over for the first time in years! Can we stow the gadgets and look alive?"
3,Beth,Alive? For your parents?
4,Jerry,Good one.
5,Beth,Hey man!
6,Jerry,You ‘hey man’! This holiday is about humanity.
7,Morty,"*not looking up from his tablet* You know, I thought it was about being born half-God or something."
8,Jerry,"Okay, whatever. All electronic items are going in the stocking. Now."
9,Morty,*hands over his tablet* Ohhhh...
10,Summer,"Dad, I'm not giving you my phone."
11,Jerry,"Put it in the stocking, Summer, or I'm joining Facebook."
12,Rick,"*offscreen* Ho ho ho, everybody."
13,Jerry,More like whoa whoa whoa. What is this? My parents are coming!
14,Rick,"Calm down Jerry, this is Ruben, an old friend."
15,Ruben,Pearl Harbor.
16,Rick,I check in on him once a year and give him a little *burp* medical *burp* evaluation.
17,Beth,"Aw, Dad... That is so sweet."
18,Jerry,"*squinting suspiciously* Yeah, it is... I don't get it."
19,Ruben,Korea.
20,Rick,"Don't worry about your C-C-Christmas, Jerry. *leads Ruben away* Ruben and I'll be in my workshop while you have another day in Phil Collins’ proverbial paradise."
21,Jerry,"Huh. You think you know a guy. (The doorbell rings.) Okay, there's my parents. Now remember, no TV, no phones, no laptops, we are connecting this Christmas, like old-school Jews on a Saturday. *opens the door* Hey hey!"
22,Leonard,"Merry Christmas, son."
23,Jerry,"Oh, hi. Can I help you?"
24,Joyce,"Jerry, this is Jacob. *takes Jacob by the arm* Didn't you get our text message?"
25,"Beth, Summer, and Morty",No.
26,Jacob,You must be Jerry! That's a fine lookin’ apron. William Sonoma?
27,Jerry,*smiling uncomfortably* I wish... But thank you. *closes the door* So... you're a...friend of the family...?
28,Leonard,"*puts an arm around Jacob's shoulders* The way we see it, he's a part of the family."
29,Jerry,Wow!
30,Joyce,"After your father's brush with cancer and losing your uncle, we looked at life and wondered how have we spent it? And how do we spend the rest of it? What are we going to be when we die? A list of fears and questions, or a collection of real experiences?"
31,Beth,"Holy crap, Joyce. That's amazing."
32,Leonard,Then Jacob came into our lives. We’re learning to live again.
33,Jacob,All three of us.
34,Jerry,...Cool... Eggnog?
35,Jacob,"Now we are talkin’! This man's got the apron and the eggnog, huh?"
36,Rick,"Hi Joyce, Leonard. *looks at Jacob* Hello there."
37,Jacob,"Merry Christmas, man."
38,Rick,Morty! A moment of your time?
39,Rick,"He's in bad shape, Morty."
40,Morty,"Aw geez, Rick! What did you do?"
41,Rick,"Gee, thanks Morty. What kind of monster do you think I am? I-I'm sittin’ here trying to save the guy's life! (Rick straps a pack with a tube onto Morty's back and puts an earpiece on his head.) I want you to find Dr. Xenon Bloom. He'll know what's goin’ on."
42,Morty,*extremely nervous* Uh... W-W-Where do I find Dr. Bloom?
43,Rick,In Ruben. *shoves a glass oxygen mask onto Morty's head*
44,Morty,Ruben... Minnesota?
45,Rick,"Ruben on the table, Morty! *hooks up the backpack to the helmet* Look, I-I don't have time for you to wrap your little walnut around everything. *pulls a shrink ray into view and plugs it in* Hold your breath until the process is over or your lungs will collapse."
46,Morty,W-What proc—
47,Beth,"Hey Dad, where's Morty?"
48,Rick,He's busy.
49,Rick (through Morty's earpiece),"Morty, can you hear me? Head North!"
50,Morty,Rick... Where am I?
51,Rick,"*adjusts his own headset as he stands in the garage* Depending on my aim, you should be just south of the entrance."
52,Morty (through Rick's earpiece),The entrance to what?
53,Rick,"Welcome, Morty. (The scene cuts back to Morty's view from inside Ruben.) Welcome... (Morty gasps.) ...to Anatomy Park!"
54,Rick,"It's a little business venture I’ve been cookin’ up on the side with Dr. Bloom. (Morty enters the park.) An amusement park inside a human body. Science isn't cheap, Morty. This should really help put a dent in the overhead."
55,Morty,Oh my God! This is insane! Spleen Mountain? Bladder Falls? Pirates of the Pancreas?
56,Rick,"You got a problem with that last one, Morty?"
57,Morty,"Huh? No, no, I'm just reading them out loud in the order I'm seeing them."
58,Rick,"Okay, alright, if I sounded a little defensive, it's because Pirates of the Pancreas was my baby."
59,Rick,"I-I got a lot of push-back when I pitched it, Morty. I guess I'm still a little defensive. Let's just find Dr. Bloom, alright? I-I'm picking up a distress signal in the liver, Morty."
60,Rick,Proceed to the liver.
61,Automated voice,Arriving at ‘Liver’.
62,Morty,*stumbles forward and hits his helmet on the window* Ow!
63,Automated voice,Mind the gap.
64,Morty,"It's really scary in here, Rick."
65,Rick,"Liver's under maintenance. Ruben's seen some rough years, Morty. Don't judge. You don't agree to have a theme park built inside you if your life's going great."
66,Morty,"OOOOHHH! Rick, it's a monster!"
67,Rick,"No no, Morty. The only monster here is alco— *belch* —holism. (The wolf is mechanically pulled back into the wall.) That is an animatronic werewolf."
68,Poncho,Who are you? Answer me! Where did you come from?
69,Morty,Mmm! M-M-My-my-my Grandpa Rick sent me!
70,Dr. Bloom,Poncho! That's quite enough.
71,Dr. Bloom,"Morty, that's Poncho. (Another man and a girl walk into the room.) This is Roger and Annie."
72,Morty,*staring sheepishly at Annie* Oh...
73,Dr. Bloom,And I am Dr. Xenon Bloom.
74,Rick,"Hey Bloom, it's Rick. What the hell's goin’ on here?"
75,Dr. Bloom,"I don't know why, but the entire security system has shut down. And I'm afraid the exhibits are unlocked."
76,Morty,Exhibits?
77,Dr. Bloom,"Anatomy Park's greatest attraction, young man, isn't the music or the food or the Pirates of the Pancreas."
78,Rick,Watch it.
79,Dr. Bloom,It is first and foremost a living museum of humanity's most noble and ferocious diseases.
80,Morty,Diseases?!
81,Poncho,"Hey Doc, I have news for ya. (Hepatitis A lumbers towards the group.) Your living museum is officially a wild safari!"
82,Roger,Hepatitis A! Run!
83,Jacob,"Oh... *leans over and wipes some food from Joyce's mouth with a napkin* The food goes in your mouth, girl!"
84,Jerry,"Aha... I'm sorry Jacob, I guess I'm still confused about the precise nature and origin of your relationship with my parents. Are you like a—Are you like their caretaker? Is that what it is?"
85,Joyce,"We can go into detail later, son."
86,Leonard,"Now wait, there, there's no point to secrecy. Let's all live and die honestly. Your mother and I have shared forty years of each other, mind, body, and soul. (Jerry and Jacob smile at each other, but when Jacob looks away, Jerry's smile becomes a glare.) And when minds and souls are joined for eternity, and when eternity is at the door, it's an invitation to let go of the body, and an opportunity to share and experiment."
87,Jerry,"Dad, please, what are you saying?"
88,Beth,"Whatever it is, it's beautiful, Leonard. *glares at Jerry* And we support you."
89,Jerry,"Speak for yourself! Because it, heheh, it sounds like you're about to say Jacob is your lover."
90,Leonard,"No no no no. (Jerry sighs in relief.) Jacob is your mother's lover. (Jerry again looks disturbed.) I watch them. Sometimes from a chair, sometimes from a closet. Almost always dressed as Superman."
91,Jacob,Oh... *reaches across the table and puts a hand atop theirs*
92,Jacob,"Jerry, this ham's got to be all you, right? It's in-cred-i-ble."
93,Summer,"*smirks* Happy human holiday, Dad."
94,Poncho,AHHHHHH!
95,Dr. Bloom,Hepatitis won't follow us into the respiratory system!
96,Roger,That's strange... *taps the meter* Air flow is down twenty percent.
97,Dr. Bloom,So the brain isn't getting enough oxygen. That's why security is offline.
98,Morty,"W-Well, I guess we better check it out."
99,Alexander,"Hey, wait for me! *removes the head of his costume*"
100,Dr. Bloom,*points his cane at Alexander* Put that back on!
101,Roger,"If we got up to the bronchial catwalk, we could look for blockage."
102,Morty,*raises his hand* I'll go. *glances at Annie* Heheh...
103,Poncho,"Don't be a hero, kid."
104,Morty,I'm not. I'm doin’ it because it's fun. *he hops from frond to frond*
105,Poncho,*cocks his gun* We shouldn't be here.
106,Dr. Bloom,"Whatever you do, don't fire that thing in here! We must save Ruben. This is my life's work."
107,Annie,Ah!
108,Dr. Bloom,"It's alright, my dear. Nearly all human lungs contain a strain of this bacteria, but the scar tissue... *prods it with his cane, seeing something has escaped from the scar tissue* ...keeps them dormant. *looks up toward Morty, who is getting close to the catwalk* Morty! Get down!"
109,Morty,Whoa! *grabs hold of the catwalk as a fluid drips down onto it* Whoa!
110,Morty,Oh! What are those things?!
111,Dr. Bloom,"Tuberculosis, coming in fast!"
112,Poncho,*raises gun and starts shooting at the disease* Not faster than a bullet! Ahh!
113,Dr. Bloom,*grabs Poncho's arm* No! Do you know what you've done?!
114,Dr. Bloom,Get to the digestive tract! He's coughing!
115,Alexander,Waaaah! Don't let me die!
116,Rick,"Just take a deep breath, Ruben."
117,Morty,You're not gonna die! What's your name?
