index,name,line
1,Beth,"So dad, guess what tomorrow is..."
2,Rick,Martin Luther King Jr.'s birthday.
3,Beth,"No... well, it might be..."
4,Rick,It is.
5,Beth,"Fine, but also, tomorrow is your one year anniversary back in our lives. I'm gonna make you flying saucer-shaped pancakes."
6,Rick,"Oh, there's no need to do that, Beth. Regular pancakes are fine."
7,Beth,"Happy anniversary, dad!"
8,Rick,"Oh, I get it. Regular pancakes are already shaped like flying saucers. [takes bite] Mmm, I should be making you breakfast for putting up with me."
9,Jerry,Should be making us a whole restaurant.
10,Beth,"Nonsense, we couldn’t be happier to have you around. I just wish I got to see more of you."
11,Rick 1,Rick Sanchez of Earth dimension C-137. You are under arrest for crimes against alternate Ricks by the authority of the transdimensional council of Ricks.
12,Jerry,Hey! What the heck?
13,Rick 1,Neutralise the Jerry.
14,Jerry,"Wait, no!"
15,Summer,Dad!
16,Beth,Dad!
17,Morty,Rick!
18,Rick (C-137),"Everybody relax. If I know these a-holes, and I am these a-holes, they just wanna haul me to their stupid clubhouse and waste my time with a bunch of questions. Let’s get it over with."
19,Rick 1,Bring his mo-[belches]-orty.
20,Morty,"Oh, man."
21,Rick (C-137),Leave my [belches] Morty out of this!
22,Rick 1,You lost the right to have a say in these things when you refused to join [belches] the council. 
23,Beth,"Wait, wh-wh-wh-what about Jerry?"
24,Rick (C-137),Will you at least unfreeze my daughter’s idiot?
25,Jerry,"-give you anything! I have a rare antique coin collection, just don’t hurt me! [pauses] Okay, maybe not antique, but it was a limited minting. They have little R2D2s instead of George Washingtons."
26,Beth,Our son’s been abducted!
27,Jerry,You hate me for buying those coins!
28,Morty (C-137),"Geez, Rick! Wh-what is this place?"
29,Rick (C-137),The citadel of Ricks. It’s the secret headquarters for the council of Ricks.
30,Morty (C-137),Council of Ricks? 
31,Rick (C-137),"As you know, Morty, I’ve got a lotta enemies in the universe that consider my genius a threat. Galactic terrorists, a few sub-galactic dictators, most of the entire intergalactic government"
32,Morty (C-137),"Hey, what do you know? It’s a cowboy version of me!"
