index,name,line
1,Man,"Hey, golf is easy now!"
2,Man,Aahh! Golf is hard again! Golf is hard agaaaaaaain!
3,Terry,"The view here is the same as yours, Jim. A giant head has entered Earth’s gravity, triggering climate change and natural disasters we thought were impossible for at least another eight years."
4,Jim,"(in news studio) Let’s not make this political, Terry. Do we know what this giant head wants?"
5,Giant Head,SHOW ME WHAT YOU GOT.
6,Terry,"Jim, you heard *static* said, “Show me what you got.”"
7,Giant Head,"SHOW ME WHAT YOU GOT. I WANT TO SEE WHAT YOU GOT. (lamp post falls over, Terry runs out of frame)"
8,Rick,"Oh boy. Time to go, Morty."
9,Morty,"Uhh, where?"
10,Rick,"The Pentagon. I mean, not THE Pentagon. *burp* The lame one, here on Earth."
11,Summer,"Is it God? If it’s God, do we get out of school?"
12,Beth,"It’s not God, Summer."
13,Jerry,"She’s allowed to think it’s God if she wants, honey!"
14,Beth,"Shut up, Jerry."
15,Jerry,Ok…
16,Beth,"Dad, what do you know about this?"
17,Rick,Morty and I are going to look into it. You guys hold tight.
18,Mr. Goldenfold,"Scary stuff, huh? Pretty freaky. Hi, I’m Morty’s math teacher. I’m also part of the street team inviting folks to the church downtown so we can pray together."
19,Beth,How is praying going to help?
20,Mr. Goldenfold,"Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house! (leaves)"
21,President,"Gentlemen, gentlemen, one at a time! Simon?"
22,Simon,"SETI, NORAD, and every broadcaster on the planet are attempting to show this being what humanity’s got. String theory, world history, the human genome."
23,Nathan,"Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass!"
24,Guards,Hold it! Don’t move! (they approach Rick and Morty with guns)
25,Rick,Stay back! This watch turns people into snakes!
26,President,Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery.
27,Rick,My name is Rick Sanchez. This here’s my grandson Morty. (drinks from flask)
28,Everyone,"Hi, Morty."
29,Morty,Hey.
30,Rick,"I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math. (points to viewscreen showing floating head) This head won’t go away until *burp* Earth shows them it’s got a hit song."
31,Everyone,"Seriously, that’s impossible, etc…"
32,Simon,You mean like Vivaldi?
33,Rick,"No, Frasier. A live performance of a newly-written, catchy, original song. The Cromulon feed on the talent and showmanship of less-evolved lifeforms."
34,President,"All right, all right. Thank you, Mr. Sanchez. Change of plan, people. Get me Pharrell, Randy Newman, Billy Corgan, and The-Dream. (no one responds) The-Dream? He wrote “Umbrella” and “Single Ladies”? You people haven’t heard of The-Dream?"
35,Rick,You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51.
36,Nathan,How do you know about that?
37,President,"For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps."
38,Aide,"Sir! Pharrell, Newman, Corgan, and that Dream guy. They’re all dead."
39,President,What? How is that possible? Do people just die when I name them?
40,Aide,"The Grammys, sir. There was an earthquake and all the musicians... (sniffs, holding back tears) All the famous ones, they’re gone."
41,President,Dear God.
42,Aide,"Hold on, sir, just a minute. Ice-T survived. He’s inbound on an F-15, ETA two hours."
43,Rick,"Good luck, Mr. President."
44,Simon,"Sir, the magnetic poles are about to reverse. In two hours, there may not be an Earth to save."
45,President,Sanchez! Are you a musician?
46,Rick,"I dabble, Mr. President."
47,President,Get this man and his grandson on a Blackhawk to Area 51.
48,Father Bob,"People! Everyone! Remain calm! Every crisis of faith is an opportunity for more faith! When God deals you an 11, you don’t fold! You double down, and always hit on a soft 16. That means you, Jews."
49,Jew,"I beg your pardon, pastor, but the last I looked outside, it seems to be you that’s been dealt the weak hand. Jews rule! (no one responds) Nobody? Ok, tough church."
50,Principal Vagina,"Hi, Principal Vagina. The name’s real, possibly Scandinavian. I’m just gonna come out and make this pitch. The old gods are dead. Fuck all previous existing religions. All hail the one true god, the giant head in the sky."
51,Principal Vagina,"Ah, di di di di. (to Bob) Bob, Bob, I get it. But unless this (holds up a necklace with a cross) can beat that… what have you done for me lately? (tosses necklace to Bob) So if you wanna excuse me, I’m going out on the sidewalk and dropping to my knees and pledging my eternal soul to the thing that literally controls the fucking weather! (walks out) Outta my way!"
52,Pastor Bob,"Ok, if sanity’s been restored to this assembly, I’d like to talk about the cost of repairing our new organ. Sally, the plate, please."
53,Mr. Goldenfold,"(holds up a dollar) Ohhhh, this is my favorite part!"
54,"(Helicopters over the desert, subtitle “Nevada Desert",Restricted Air Space”. Rick and Morty are on a helicopter)
55,Morty,"Rick, are you really a musician?"
56,Rick,"Who’s NOT a musician, Morty?"
57,Morty,Me!
58,Rick,"Yeah, not with that attitude."
59,Jump Master,"We’re in the drop zone! I’m the jump master! My name’s Jamey! With an E-Y! Go, go, go! (Rick slides down rope)"
60,Morty,B-b-but we don’t have a song!
61,Principal Vagina,"Giant head in the sky, please forgive all that we’ve done. We’re sorry for increased levels of emissions and our racism. And of course, the amber alerts I keep ignoring on my phone."
62,Rick and Morty,WhooooOOOOAHHHH!!!!
63,Rick,"(picks up a microphone) All right, Morty, let’s get ready to do it! Why don’t you, uh, find a button on one of those keyboards and lay down some kind of beat?"
64,Morty,"Rick, I think we need to cut our losses. We get our family and portal out of here!"
65,Rick,"Morty! Good music comes from people who are relaxed. Just hit a button, Morty! Gimme a beat!"
66,Morty,"Oh man, ok, all right, um…"
67,Rick,Ahhhhh yeahhhhh
68,Nathan,Get… schwifty? What the hell is that?
69,President,"It’s our world’s best effort, that’s what."
70,Rick,Take off your pants and your panties
71,Nathan,Mr. Bulldops?
72,President,"Don’t analyze it, Nathan. It’s working!"
73,Rick,Take a shit on the floor
74,Pastor Bob,And third-level donors get our all access family pass.
75,Summer,Listen! The storm is stopping!
76,Rick,"Hey, take your pants off"
77,Giant Head,Hmmmm.
78,Principal Vagina,Please be kind to us for we are but tiny things with entire bodies stuck to your ground.
79,Giant Head,I LIKE WHAT YOU GOT. GOOD JOB.
80,Beth,"Now hold on a second, let’s be rational about this."
81,Beth,"No, I’m… I’m just saying, we don’t know if there’s a cause-effect relationship --"
82,Beth,"Oh, God, what’s going on now?"
83,President,What the hell happened?
84,Aide,"Mr. President, you’re gonna wanna see this."
85,Rick,I think planet Earth has just been transported.
86,Principal Vagina,The head has left and sent its children!
87,Beth,Holy CRAP!
88,Summer,"Oh dear giant head, we apologize for that discussion! It will never happen again!"
89,Simon,"Sir, we’ve started picking up on a garbled signal. We’re decrypting it now."
90,Cromulon,"WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray."
91,Rick,"Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead."
92,Cromulon,"Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT."
93,Greebybobe,"Hold it, hold it, stop! Music isn’t about competition or captivity! If you love music, you love freedom. Let these worlds be free, please!"
94,Cromulon,DISQUALIFIED!
95,Cromulon,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.
96,Arbolian Meterososian,"Ah two, three, four…"
97,Aide,"Rick, Morty, Ice-T. The timetable’s moved up. Earth’s on in six hours."
98,Morty,Like we’re not already under enough pressure! (Morty flips a bowl of peanuts at the aide and it hits him in the head. The aide leaves.)
99,Rick and Ice-T,Whoa ho ho ho ho!
100,Rick,"Geez, Morty. The guy’s just doing his job. Take it easy."
101,Morty,"Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!"
102,Rick,"Genius happens in the moment, Morty. (walks over to keyboard)"
103,Morty,"Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?"
104,Rick,"That’s planning for failure, Morty. Even dumber than regular planning. (presses a button on the keyboard) Balls."
105,Rick,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?"
106,Morty,What?!
107,Rick,"Yeah, *burp* you see, I try to shelter you from certain realities, *burp* Morty. Cause if I let you make me nervous, then we can’t get schwifty."
108,Morty,Stop saying it like it’s a thing! You made it up!
109,Rick,"Hey, Morty! Could you lick my… (Rick presses keys on the keyboard with the sample of him saying “Balls”)"
110,Morty,"Rick, cut it out! That’s not funny, Rick!"
111,Nathan,I’ve seen enough. These guys are one-hit wonders.
112,President,"And what’s your plan, General?"
113,Nathan,"We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky."
114,President,"Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam."
115,Principal Vagina,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!"
116,All,Happy Ascension!
117,Beth,We should pack up and leave town now.
118,Jerry,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself."
119,Jerry,Whoa! Look at you! You’re wearing the hat and everything!
120,Summer,"Here’s yours! (puts hat on Jerry) Mom, do you mind if I cook dinner tonight?"
121,Beth,"Yeah, sure. Wait, what??"
122,Summer,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.
123,Beth,Dinner sounds nice.
124,Ethan,"Pardon, Mr. and Mrs. Smith. Summer, are you coming to the Ascension?"
125,Summer,"Father, can we please go to the Ascension?"
126,Jerry,Sure! Let’s go to the Ascension. Wh-wh-what is it?
127,Principal Vagina,"We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies! (cuts first rope) Headward, free now to rise. (cuts second rope) Headward, free now to rise. (cuts third rope) Headward, free now to rise."
128,Summer,"Oh yes, yes! Rise to the giant head! You are free to be free!"
129,Ice-T,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”"
130,Ice-T,Who would take a lobster to see Iron Man 3?
131,Ice-T,"Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway."
132,Rick,"Wait, wait, wait! Come on, h-hold on a second!"
133,Morty,What?!
134,Ice-T,Damn. You didn’t tell me you fuck around with portals and shit.
135,Morty,That’s it!
136,Rick,"Whoa, whoa! Morty! Give me that!"
137,Morty,You lied! You lied about the charge! You were just being lazy! Get back! Sit down!
138,Rick,"Morty, just put it down. You don’t know what you’re doing."
139,Morty,I’m going to go find Mom and Dad.
140,Rick,Nooooo!
141,Rick,"Ahhhh, shit!"
142,President,"Ah, shit."
143,Morty,"Ahhh, shit."
144,Summer,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!
145,Jerry and Beth,Praise be the…
146,Jerry,Yeah.
147,Principal Vagina,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children."
148,Summer,I’m going to start dinner! (walks into the house)
149,Beth,I don’t know what to say. Summer is doing really well here.
150,Jerry,"She’s aced every test in potato class, and look how important potatoes have become."
151,Beth,She’s not getting pregnant or doing drugs or missing curfew…
152,Balloon Man,Please help me! You can reach me if you try. Please help me!!
153,Beth,That’s not our business as long as Summer is thriving!
154,Summer,Taco time! (Summer pulls off the lid to reveal exactly 12 tacos.) I hope it pleases you as the head desires.
155,Beth,"That’s wonderful, Summer!"
156,Jerry,"We’re so proud of you. But honestly, you don’t have to make dinner every night."
157,Summer,"Of course I do, silly! (gasps and drops lid) Oh my God, daddy, I’m sorry I called you silly! I’m so sorry! (turns around and drops to knees) Heavenly head and cranial creator! Forgive my transgressions against family and community! May my chores complete me as I complete them!"
158,Birdperson,Morty.
159,Morty,Birdperson?
160,Birdperson,"You appear to be dying. I will make efforts to prevent this, but can promise nothing."
161,Rick,"Wh-What do you think, Ice? Probably a little over-developed."
162,Ice-T,"Shit. Over-developed, under-developed. Bad songs are bad songs."
163,Rick,"Well, do you think maybe, could you give me some help with it, or…&nbsp;?"
164,Ice-T,"Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’?"
165,Rick,"Ice, I don’t want to be a negative Nelly or anything, but *burp* if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too."
166,Ice-T,"Pfff. I ain’t worried about no Earth blowin’ up, man."
167,Rick,What? Why not?
168,Ice-T,"Yo, this is why."
