index,name,line
1,Rick,Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine!
2,Morty,Woahh!
3,Rick,"ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth."
4,Beth,Why would you keep mutant bacteria in a pint of Cherry Garcia?
5,Rick,"I know this isn't the time, but, you know, technically the second freezer drawer is mine."
6,Beth,Not anymore.
7,Rick,You're overreacting!
8,Alien Nurse,We're losing him.
9,Rick,"Alright fine, but you're not touching my CRISPR."
10,Summer,Is he going to die?
11,Alien Nurse,Don't worry. Dr. Glipglop is the best in the galaxy
12,Dr. Glipglop,"Hello, I'm Dr. Glipglop."
13,Rick,What? Every hospital claims to have the best doctor in the gal(Belch)axy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest?
14,Beth,"Go in the waiting room, Dad."
15,Rick,"Fine! (Transition to the waiting room) Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do.(Rick walks up to a TV and smashes the cable box)"
16,Alien Nurse,Hey! What are you doing!?!
17,Rick,A sequel.
18,Alien Nurse,I don't understand.
19,Rick,"Yeah me neither, we pretty much nailed it the first time. (On the TV"
20,Randy Dicknose,"Man vs. Car. The newest hit show where it pits a man vs. a car. Tonight's episode Jenkins fights... a regular old car. Here we go. He's pushin' his way through, he's trying to fight that car. The car seems to have the upper hand- Oh, he just got some push-back there."
21,Randy Dicknose,"Oh, he just got ran over and chewed up by the tires. I guess that's another one for the car. Ha ha ha ha ha... I mean, wouldn't the cars always win...?"
22,Alien Man,"Samantha, I need to know that you understand that I have a couple of eye-holes. (The Alien tears off some skin flaps and reveals some eye-holes)"
23,Samantha,"I do, I do understand about your eye-holes! Here, look at my eye-holes! (She tears off her skin flap to reveal many more eye-holes)"
24,Alien Man,"Oh, my goodness you have eight eye-holes! (Their eye-holes make contact and start to ""kiss"") Oh, I'm looking through your eye-holes!"
25,Samantha,"Yes, look through my eye-holes!"
26,Eye-hole Man,I'm the Eye-hole Man! I'm the only one whose allowed... to have eye-holes! (He kicks the eye-holes out of the aliens' heads) Get on up outta here with my eye-holes!
27,Announcer,Eye-holes! Get them today! IKEA.
28,Rick,"You gotta be careful Morty, if that guy catches you with a box of his eye-holes he comes bursting in through a window and just starts kicking the shit outta you. But it's worth the risk, they melt in your mouth Morty! They're delicious."
29,Beth,"I can't believe you're explaining alien cereal, we're worried about Jerry."
30,Rick,"Well you're thirty-nine years too late, or however old he is. Is he fifty? Jesus, Christ, Beth is, is Jerry fifity!?"
31,Jerry,Where am I?
32,Alien Doctor,"Relax Mr. Smith, you're in an alien hospital. I mean to you it's an alien hospital, to me you're just in a hospital. There's another matter we need to discuss with you."
33,Alien 1,"An hour ago Shrimply Pibbles, the galaxy's most influential civil rights leader, was brought to this hospital's emergency room where he is currently fighting for his life!"
34,Jerry,My God!
35,Alien 1,"Mr. Smith, Shrimply Pibble's life can be saved if we replace his heart with your human penis."
36,Jerry,I see-WAIT! What?
37,Alien Doctor,"It's perfect! The configuration of veins, the ratio of thickness to elasticity, the delicate asymmetry of what you call ""your balls"". With relatively few adjustments, your genitals can be molded into a functioning heart for the most important man in the universe!"
38,Jerry,"Yeah, but, I mean-"
39,Alien 2,"Oh, forget it! I told you this was a waste of time!"
