index,name,line
1,TV,Coin collecting is considered the perfect hobby.
2,Jerry,What? Why are you looking at me? You want to go outside? Outside? (Sigh)
3,Jerry,Outside?
4,Jerry,Are you kidding me?! Come on!
5,Summer,"Oh, my God."
6,Morty,What's wrong?
7,Jerry,Your idiot dog!
8,Morty,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
9,Jerry,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
10,Rick,"Morty, come on. I need your help tonight."
11,Jerry,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
12,Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
13,Jerry,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
14,Summer,Ha-ha!
15,Morty,"Aw, man!"
16,Rick,"Boy, you really got me up against a wall this time, Jerry."
17,Rick,"All right, Ruffles What's his name?"
18,Morty,Snuffles.
19,Rick,"Snuffles, shake."
20,Rick,Roll over.
21,Rick,Go to the bathroom.
22,Jerry,Holy crap!
23,Summer,No way.
24,Rick,"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
25,Morty,"That was fantastic, Rick!"
26,Rick,"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
27,Morty,W-w-w-what is it?
28,Rick,"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
29,Morty,"You talking about ""Inception""?"
30,Rick,"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may-(Belch)-be make sense."
31,Morty,"""Inception"" made sense."
32,Rick,"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
33,Morty,"Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
34,Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
35,Rick,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
36,Mrs. Pancakes,You don't know me!
37,Commercial Announcer,"Next week on ""The days and nights of Mrs. Pancakes"""
38,Mrs. Pancakes,You don't know me!
39,Mr. Pancakes,"Then let me get to know yo, damn it!"
40,Rick,Uh-oh! Spoilers!
41,Rick,I'm a full season behind.
42,Morty,"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird."
43,Rick,"It's about to get a whole lot weirder, Morty."
44,Mrs. Pancakes,Wheat thins. Wheat thins.
45,Mr. Goldenfold,I'll take two.
46,Mrs. Pancakes,"Oh, I think you've had enough, sir."
47,Mr.Goldenfold,You don't know me.
48,Rick,"All right, Morty, time to make our move."
49,Mr. Goldenfold,Make it bounce.
50,Mrs. Pancakes,"No, you didn't."
51,Mr. Goldenfold,"Oh, jiggle it now."
52,Mrs. Pancakes,You better stop with that.
53,Rick,Allahu (Belch) akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
54,Rick,"Hey! I said nobody move, buddy!"
55,Mr. Goldenfold,The name's not buddy. It's Goldenfold. Nice to wheat you!
56,Rick,"Take cover, Morty!"
57,Mr. Goldenfold,AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!
58,Morty,Ooohhh!
59,Rick,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math. (Belch) I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty."
60,Morty,What?! Are you kidding me?! Ohhhhhh!
61,Rick,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!"
62,Jerry,Now bring me my slippers.
63,Summer,"Now, be my footstool, Snuffles."
64,Jerry,This is what I'm talking about. This is a dog.
65,Beth (Unimpressed),"Oh, yeah. This should play out just fine."
66,Jerry,"You said the same thing, equally sarcastically, at our wedding and guess what?"
67,Snuffles,Ooowwwwowowwaawaa!
68,Summer,"Oh, my God! He's trying to tell us something. (Offscreen) That is so awesome."
69,Snuffles,Aaaawwaaaaawaawa!
70,Jerry,"Aw, he's saying ""I love lasagna""."
71,Snuffles,Ooooyayawawa!
72,Summer,"He's saying ""I love Obama"". (Offscreen) So cute! I'm posting this (Onscreen) online, like, right now."
73,Jerry,I should call Bob Saget. Is that still a thing?
74,Snuffles,Hmm?
75,Rick,"Goldenfold, we're coming out! We just want to talk!"
76,Mr.Goldenfold,Why would I negotiate with you?
77,Rick,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
78,Mr. Goldenfold,Mrs. Pancakes! AAAAAAAAHHHH!!!!!
79,Plane Passengers,AAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!
80,Rick,"Oh, no, Morty. His subconscious is panicking."
81,Plane Passenger,Oh no! Run!
82,Plane Passengers,AAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHH!!!!!!!!!!!!!!!
83,Rick,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
84,Morty,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!
85,Morty,AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!
86,Rick,"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!"
87,Mrs. Pancakes,"Hey, you don't know me!"
88,Morty,"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a (Offscreen) mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!"
89,Rick,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!"
90,Mrs. Pancakes,You don't know m-
91,Rick,"All right, let's go."
92,Morty,"Oh, man, Rick, this is pretty weird."
93,Rick,"Don't judge, Morty."
94,Morty,"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up."
95,Rick,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch."
96,Sexualized S&amp;M Monster,"Ooh, hey!"
97,Morty,"Ooh, oh! Oh, man."
98,Sexualized S&amp;M Monster,Come and join us.
99,Morty,"I'm sorry. No, no."
100,Sexualized S&amp;M Monster,"Ooh, come here!"
101,Morty,"No, thanks!"
102,Giant Frog Woman,"Ooh, wow! - Come over here, baby!"
103,Morty,"No, I'm okay."
104,Morty,Whoa!
105,Morty (Shocked),Summer?!
106,Summer,"Hey, there, stranger. What do you think of these things?"
107,Morty,Ohh! Oh! Gross! Gross!
108,Rick,"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here."
109,Morty,It's Summer!
110,Rick,"Aw, geez. Looks like goldenfold has some predilections so shameful he buries them in the dreams of the people in his dreams, including a pervy attraction to your underage sister."
111,Summer,"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich."
112,Rick (In Unison With Morty),"Oh, my God. Put some clothes on for the love of God Summer! Put some - I'm gunna puke! I swear to God I'm gunna puke!"
113,Morty (In Unison With Rick),"Oh, my God! Put some clothes on, for Pete's sake! This is disgusting! I can't take it, Rick!"
114,Centaur,Sexual hang-ups in the pleasure chamber are punishable by death! Off with their heads!
115,Rick,"Time to go another dream deep, Morty!"
116,Morty,What the hell? Why would Mr. Goldenfold's dream version of Mrs.
117,Rick,"Geez, I don't know, Morty. Wha-what do you want from me?"
118,Scary Terry,"Welcome to your nightmare, bitch! RAAAAAWWWRRR!"
119,Rick,"Oh, here we go!"
120,Morty,Ooooooohhhhh! Holy crap!
121,Rick,Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.
122,Scary Terry,"I'm scary Terry. You can run, but you can't hide, bitch!"
123,Jerry,"Whoa! Hey, buddy. What you got going on there?"
124,Snuffles,Snuffles fix. Make better. Humans understand snuffles now?
125,Summer,That is awesome!
126,Snuffles,Snuffles want to be understood. Snuffles need to be understood.
127,Jerry,"Okay, yeah. I get what Beth was talking about. Fun's over."
128,Summer,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away."
129,Jerry,Why not?
130,Summer,I don't know. It's Indian giving.
131,TV,"A sophisticated predator, nature's perfect killing machine, the vicious wolf stalks its prey with purpose and skill. It was only with years of selective breeding and genetic altering that this noble beast was transformed into man's subservient little buddy."
132,Summer,"Aw! Oh, my God! He recognizes the other dogs on TV."
133,Little Girl,"""A,"" ""b"" his name is scary Terry ""C,"" ""d"" he's very scary."
134,Rick,"Holy crap! We have to escape into someone else's dreams, Morty!"
135,Morty,"Oh, man, oh, man, oh, man!"
136,Little Girl,"""E,"" ""f"" he'll design your death"
137,Rick,The little girl!
138,Morty,Huh?
139,Little Girl,"""J,"" ""k,"" he'll really ruin your day."
140,Rick,"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty."
141,Morty,"Oh, geez, Rick. W-w-whoa, this isn't good."
142,Scary Terry,"Nothing but fear from here on out, bitch!"
143,Morty,Ohhhh!
144,Rick,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!"
145,Snuffles,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?"
146,Summer (Scared),"Oh, wow. That's an intense line of questioning, Snuffles."
147,Snuffles,Do not call me that!
148,Summer,AAAAAAAHHH!!!!!
149,Snuffles,"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white."
150,Summer,"Okay, Snowball, just calm down, okay? You're scaring me."
151,Snuffles,Scaring you?
152,Snuffles,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?"
153,Summer,Uhhh ...
154,Jerry,"Hey. Oh, wow. Okay, is is is everything okay in here?"
155,Snuffles,"Jerry, come to rub my face in urine again?"
156,Jerry (Scared),"No! No, we were uh, just seeing if Summer wanted to uh ..."
157,Beth (Scared),"G-Go on, um, one of our famous midnight family walks!"
158,Summer,Yeah. Totally. Let's go.
159,Snuffles,You will walk when it is time to walk.
160,Rick,What are we here for again? Incepting? We're trying to incept-
161,Morty,"We're trying to incept me to get an ""A"" in math?"
162,Rick,"Oh, yeah."
163,Scary Terry,"Buckle up, bitch!"
164,Morty,Ooooooaaahhh!
165,Morty,"Man, he sure says ""bitch"" a lot!"
166,Scary Terry,"You can run, but you can't hide, bitch!"
167,Rick,"Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding."
168,Morty,But that's the opposite of what-
169,Rick,"Yeah, well, since when are we taking this guy's advice on anything?"
170,Morty,"Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick."
171,Rick,Worst-case scenario we're back to running.
172,Morty,"Wow, you know what? I mean, it looks like we could have just hid this whole time. Boy, Rick, that was some good thinking."
173,Rick,"Thanks, Morty. Yeah, it's nice to be on the same page every once in a while."
174,Scary Terry,You can run But you can't hide! (Yawn)
175,Rick,"Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move."
176,Jerry,"Snuffles, we didn't mean you any harm! This is a huge misunderstanding."
177,Summer,"Dad, he wants to be called snowball."
178,Jerry,"Well, I'm not calling him that. That's ridiculous."
179,Snuffles,"You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery."
180,Jerry,Huh! You think you can control me with a haircut?
181,Scary Melissa,"Hi, honey. You're home early. How was your day?"
182,Scary Terry,I don't want to talk about it!
183,Scary Melissa (Angry),"Oh, of course! You never want to talk about it!"
184,Scary Terry (Angry),"Get off my back, bitch!"
185,Scary Melissa (Angry),Out there. Not in here!
186,Scary Terry,"Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa."
187,Scary Melissa,"I love you, too, Terry."
188,Rick,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him."
189,Rick,Looks like scary Terry's having a nightmare.
190,Morty,"Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry."
191,Scary Terry,"Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants!"
192,Monster Teacher,"Ah, well, Mr. Terry, why don't you tell the whole class the proper wordplay to use when one is chasing one's victim through a pumpkin patch?"
193,Scary Terry,"Oh, uh, um ... ""Bitch."""
194,Monster Teacher,"Oh, come on, Terry, you can't think of a pun involving pumpkins, bitch?"
195,Morty,"Hey, leave him alone!"
196,Rick,"Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?"
197,Monster Teacher,"Well, I never! I-I see no reason to stand here and take this."
198,Rick,"You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is."
199,Morty,"Hey, yo, scary T, don't even trip about your pants dawg. Here's a pair on us, fool."
200,Scary Terry,"Aww, bitch. I don't know what to say."
201,Morty,"You don't need to say anything. We got you, dawg."
202,Rick,"You're our boy, dawg. Don't even trip."
203,Scary Terry,"Oh, hey, it's you guys!"
204,Scary Melissa,I haven't seen him this relaxed in years.
205,Scary Terry,"If you guys ever need anything, just say the word."
