index,name,line
1,Rick,T-t-t-this is just sloppy craftsmanship.
2,Morty,"Hey, Rick. Boy, sure is really especially beautiful out there today,"
3,Rick,"Oh, yes, Morty. It's almost unbelievable, isn't it?"
4,Morty,"Yeah, you know? There's something about the air. And just the way the sunshine is."
5,Rick,"Oh, sure, buddy. Yeah. Sure. B-brilliant. Very convincing."
6,Morty,Wh… convincing?
7,Rick,"Oh! Responsive, too! In real time! I love it!"
8,Morty,Uhhokay.
9,Beth,"*robotic* I’m going to work. Morty, good morning. Dad, good morning. I am going to work. Goodbye. (Beth drives away.)"
10,Morty,What's with Mom?
11,Rick,"Oh, what's with Mom? So, you're saying that she's acting weird? How soph—*burp*—isticated. Careful, guys. You're gonna burn out the CPU with this one."
12,Morty,"Okay, you know what, Rick? You're acting weird, too."
13,Rick,"Whatever, quote-unquote “Morty.”"
14,Morty,"Alright, well I'll see you after school. (Walks into the side of the garage.) Ow! Oof! Ugh! Damn it! I'm all right. I'm okay."
15,Mr. Goldenfold,"Alright, who can tell me what 5 x 9 is? (Students whisper.) Morty?"
16,Morty,"Uh, me?"
17,Mr. Goldenfold,What is 5 x 9?
18,Morty,"Um, you know, it's, uh, at least 40."
19,Mr. Goldenfold,"Morty, that's exactly correct! 5 x 9 is at least 40! Come up here."
20,Jessica,"Whoo! Way to go, Morty!"
21,Mr. Goldenfold,"Everybody, this is the best student. I want you to be the teacher today. *sits down at a desk* Teach us, Morty!"
22,Rick,*spying from outside* Interesting…
23,Morty,W-w-w-what do you want me to teach you?
24,Student,"Ooh, ooh! How do you make concentrated dark matter?"
25,Mr. Goldenfold,"Oh, that's a good question."
26,Morty,Concentrated huh?
27,Mr. Goldenfold,"Concentrated dark matter. The fuel for accelerated space travel. Now, do you know how to make it?"
28,Morty,Uhhh…
29,Jessica,"Come on, Morty. Isn't your grandpa, like, a scientist?"
30,Morty,"Oh, yeah, but, you know, he told me that I shouldn't go around spouting off about, you know, his science and stuff."
31,Jessica,"I bet you've seen him make concentrated dark matter a lot. You know, if you tell us, I’ll be your girlfriend."
32,Morty,"Uh, y-you will?"
33,Mr. Goldenfold,"Seems like a rare opportunity, Morty."
34,Rick,"*kicks open the door* Morty, u-uh, come on. There's a family emergency."
35,Mr. Goldenfold,"Stop right there! If he leaves, I'm giving him an F!"
36,Rick,He doesn't care.
37,Morty,"Aw, man! (Rick drags him to the locker room.) Rick, I have to go back! I think I was about to get married! *falls down* Ugh!"
38,Rick,"Take a shower with me, Morty."
39,Morty,What?!
40,Rick,"Listen to me, Morty. Get your clothes off and get in the shower right now. *strips* Y-y-y-you got to trust me, Morty."
41,Morty,"Ugh! I'm gonna get an F in class, Rick. *strips*"
42,Rick,"Morty, that's not class. T-t-t-that wasn't your teacher. This isn't your school. This entire world is not the world. We're"
43,Morty,Wait a minute. W-what are you talking about?
44,Rick,"It’s all fake *burps* Morty, all of it. Nanobotic renderings, a bunch of… crazy, fake nonsense, Morty. I couldn't say so until we"
45,Morty,Monitor us?! *looks around and tries to cover himself* W-who?!
46,Rick,"Zigerion scammers, Morty. The galaxy's most ambitious, least successful con artists. You know, it's lucky for us they're also really uncomfortable with nudity."
47,Morty,"Aw, come on, Rick. If everyone’s just gonna be insane today, at least let me be insane with Jessica."
48,Rick,"I can’t let you do that, Morty."
49,Morty,Give it to me!
50,Rick,No! You give it to me!
51,Morty,G-g-give it!
52,Rick,"Morty, come on! Morty!"
53,Morty,"No, Rick!"
54,Zigerion 1,"Oh, god, sir! They're still naked! Ugh."
55,Prince Nebulon,"Well, check every five quintons and tell me when they're not!"
56,Zigerion 1,"I think we should make Kevin look, sir."
57,Kevin,What?! No! W-w-why would you even say that?
58,Stu,"Uh, sir, we have a situation over here."
59,Prince Nebulon,"If there's a wiener on that monitor, I swear to god, Stu."
60,Stu,"Something is drawing a lot of processing power. Oh, wait. No wonder. (Jerry appears on a large screen.) There's another real human in the simulator."
61,Jerry,"Okay, Jerry, big pitch meeting. Make-or-break time. *trims nostril hairs while driving* You can do this."
62,Prince Nebulon,How did this happen?! Where's the Abductions Department?
63,Zigerion 2,"Hey, man, Abductions just follows the acquisition order."
64,Zigerion 3,Don't put this on Acquisitions! We only acquire humans that haven't been simulated!
65,Kevin,"Well, Simulations doesn't simulate anybody that's been abducted, so—"
66,Prince Nebulon,"Oh, I see! Oh, oh! It was no one's fault. Oh, okay. I'm sorry. Well, then, problem solved. Oh, wait no. *shouts* There's still another human in here! Who is he?"
67,Stu,"Rick's son-in-law, Jerry Smith. So far, he hasn't noticed he's in a simulation."
68,Prince Nebulon,"*sighs* Well, cap his sector at 5% processing, keep his settings on auto, and we'll deal with him later. Rick Sanchez is the target."
69,Jerry,*inhales deeply* Gotta relax. It's just a pitch. Gotta relax.
70,Radio,"This is earth radio. And now, here's…human music."
71,Jerry,Hmm. Human music. I like it. *rocks head side to
72,Morty,Rick!
73,Rick,"Uhp, uhp, uhp! Morty, keep your hands off your ding-dong! It's the only way we can speak freely."
74,Morty,"I don't know, Rick. I mean, I’ve seen people do that before."
75,Rick,"Well, look at that old lady. She's, she's walking a cat on a leash."
76,Morty,"Uh, Mrs. Spencer does that all the time, Rick."
77,Rick,"Look, I-I-I don't wanna hear about Mrs. Spencer, Morty! She's an idiot! Alright, alright, there. W-what about that, Morty?"
78,Morty,"Okay, okay, you got me on that one."
79,Rick,"Oh, really, Morty? Are you sure you haven't seen that somewhere in real life before?"
80,Morty,"No, no. I haven't seen that. I mean, why would a Poptart wanna live inside a toaster, Rick? I mean, that would be, like, the scariest place for them to live. You know what I mean?"
81,Rick,"You're missing the point, Morty. Why would he drive a smaller toaster with wheels? I mean, does your car look like a smaller version of your house? No."
82,Morty,"So, why are they doing this? W-what do they want?&nbsp;"
83,Rick,"Well, that would be obvious to you, Morty, if you'd been paying attention."
84,Paramedic,"We got the president of the United States in here! We need 10cc of concentrated dark matter, stat, or he'll die!"
85,Morty,Concentrated dark matter! They were asking about that in class.
86,Rick,"Yeah, it's a special fuel I invented to travel through"
87,Morty,"Wait, wha, w-w-what are we gonna do?"
88,Rick,"We'll scam the scammers, Morty. And we're gonna take them for everything they've got."
89,Jerry,National Apple Farmers of America…
90,Jerry,"Welcome to our ad agency. I'm Jerry Smith. (Audience stares blankly.) Alright. I'll just get to the pitch. Um, simple question,"
91,Mr. Marklevitz,Yes.
92,Jerry,You do?
93,All,Yes.
94,Jerry,So I sold it? I sold the idea?
95,All,Yes.
96,Jerry,Oh my god! Thank you!
97,All,*shaking each others’ hands* Thank you. You're welcome.
98,Jerry,Hey! I just sold my first pitch!
99,Old man,Slow down!
100,Woman,Lookin' good.
101,Mailman,My man!
102,Simulation Beth,(at Simulation Smith house) *answers phone* Hello.
103,Jerry,Guess who just sold the apples campaign.
104,Simulation Beth,Who just sold the apples campaign?
105,Jerry,"Me! I guess it wasn't a rip-off of ""got milk?"" after all. Guess someone was wrong."
106,Simulation Beth,Yes.
107,Jerry,"Well, all is forgiven, because right now, I’ve got an erection the size"
108,Simulation Beth,Okay.
109,Jerry,"Wait, really?"
110,Simulation Beth,Yes.
111,Jerry,"Yes! See you in 10 minutes! *hangs up, shouts* Hey! I'm going to make love to my wife!"
112,Woman,Lookin' good.
113,Old man,Slow down!
114,Mailman,My man! *glitches into a tree*
115,Morty,"Aw, geez, Rick. I-I don't know if I like this plan,you know? I mean, crowds, t-t-t-they have a tendency to make me really nervous."
116,Rick,"Morty, relax. It's just a bunch of 1s and 0s out there. You're gonna be fine. (Lowers Morty’s pants slightly and puts a hat on him.) Just follow my lead. (Rick and Morty fist bump.) Yo, deejay, drop that beat."
117,Rick,"Uh-oh, Morty. This"
118,Morty,"You got that right, Rick."
119,Rick,"Now that’s more like it! Morty, here we go. Let me hear everybody say ""hey-oh!"" yeah! (Crowd cheers.) All the ladies say, ""yeah!"" (Ladies cheer.) Everybody over thirty, do this with your hands! Everybody with a red shirt, jump up and down! (People start glitching.)"
120,Jerry,"*kisses Beth, who is still in front of the phone* Mm. Mm. Mm. Yeah, don't move. Mm, mm, mm, mm! Mm!"
121,Rick,"Yo, everyone whose first name begins with an ""L"" who isn't Hispanic, walk in a circle the same number of times as the square root of your age times ten! (Simulation freezes. Rick and Morty jump offstage.) Run, Morty! Before the system reboots!"
122,Jerry,Yeah! You like that? Now who's unremarkable? You hungry for apples? Are you hungry for apples?!
123,Jerry,"Oh, my god. That's the best sex I've ever had in my life. It's… it's too good. I don't deserve this, Beth. I'm a fraud."
124,Morty,"Oh, man, Rick! W-w-w-where we running to?"
125,Rick,"Out of the simulation, Morty. Normally, the chamber"
126,Morty,Holy crap!
127,Rick,"Come on, Morty."
128,Morty,*jumps off edge*
129,Zigerion,"Sir, they're over the edge."
130,Prince Nebulon,"Yes, they are. Just as planned. *evil laughter, others join in* Oh, this is going to be such a mindfuck!"
131,Rick,"Keep your eyes peeled for the central processing room, Morty. That's how we're gonna scam these idiots."
132,Morty,"So, hey, why do these aliens keep coming after you, Rick, if you're so much smarter than them?"
133,Rick,"It's an obsession for them at this point. The Zigerions have been trying to outsmart me for years, Morty. Every time they do, I'm one step ahead of them. *finds central processing room* Aha! Here we go. *starts collecting chips* Grab as many processors as you can carry, Morty. These guys aren't good at much, but they're really good at making these chips."
134,Morty,"I’ve got so many, I can barely hold them all! *holding chips in his shirt* Look at, look at this. Oops. I dropped one."
135,Rick,"Don't worry about it, Morty. There's plenty of them, you little goofball. (Both laugh and toss chips at each other playfully.) Come here, Morty! Oh, I gotcha!"
136,Morty,"Come on, quit it, Rick! Quit it!"
137,Rick,"Nothing wrong with just a little bit of horseplay every now and then, little fella."
138,Morty,Wow. What do you know? Huh. That was easy.
139,Rick,"Totes malotes, dawg."
140,Morty,"Just kind of hard to believe, you know?"
141,Rick,"Believe it, Morty. And once again, I'm flying away with everything I can carry, and the Zigerions got nothing of mine."
142,Jerry,"Mr. Marklevitz, do you have a minute to talk?"
143,Mr. Marklevitz,*snaps fingers* Yes.
144,Jerry,"Look, I’m a fraud. I mean, let's face it. ""Hungry for apples"" is just a rip-off of ""Got milk?"" It's almost identical."
145,Mr. Marklevitz,*snaps fingers* Yes.
146,Jerry,"Okay. I deserve that. Um, I guess I'll just pack up my desk."
147,Mr. Marklevitz,*snaps fingers* Yes.
