index,name,line
1,Rick,Run!
2,Summer,*incoherent zombie noises*
3,Rick,"Morty,"
4,Morty,I can’t
5,Rick,*holding
6,Beth,"Morty,"
7,Morty,Ohhhh…
8,Rick,Good
9,Rick,*holding
10,Rick,You
11,Morty,I just
12,Rick,"I dunno,"
13,Morty,Y-You
14,Rick,Whoa
15,Morty,*pushes
16,Rick,"Oh yeah,"
17,Rick,"Okay,"
18,Morty,"Okay, all right, tough guy! But if my adventure's good... I get to be in charge of every third adventure!"
19,Rick,Every 10th.
20,Morty,"Deal. All right. Well, come on, let's get going."
21,Beth,"Dad, the dishwasher's doing that thing again."
22,Rick,Washing dishes?
23,Beth,No. The opposite. Can you fix it?
24,Summer,"Grandpa Rick, can you help me with my science homework?"
25,Rick,Yeah just don't do it.
26,Summer,Grandpa!
27,Jerry,[amazed] Wow!
28,Beth,So many possibilities.
29,Summer,My mind is racing.
30,Jerry,"If we're gonna use this thing, which I'm not even sure we should, we need to keep it simple."
31,Meeseeks,I'm Mr. Meeseeks!
32,Summer,I want to be popular at school!
33,Meeseeks,"Ooh, okay!"
34,Jerry,"Summer, what did I just-"
35,Meeseeks 2,"Ooh, I'm Mr. Meeseeks! Look at me!"
36,Beth,I want I want to be a more complete woman!
37,Jerry,Beth!
38,Meeseeks 2,"Oh, yeah! Yes, ma'am!"
39,Jerry,"You guys are doing it wrong. He said ""simple."""
40,Meeseeks 3,"Hey, there. I'm Mr. Meeseeks!"
41,Jerry,"Mr. Meeseeks, I would like to take two strokes off my golf game."
42,Meeseeks 3,"Ooh, yeah! Can do!"
43,Jerry,Nailed it.
44,Rick,"God, Morty, what a boring start to an adventure. Why didn't we just go to Kentucky?"
45,Morty,"Rick, this is a fantasy-type world with creatures and all sorts of fantasy things. We're going on a quest, okay?"
46,Rick,Can't wait.
47,Morty,Ahem. Excuse me! We are two humble heroes in search of adventure!
48,Rick,"Oh, my God, so embarrassing."
49,Villager (man),"At last! Two heroes! You must help us! This village is terribly poor, yet the giant that lives in the clouds above has untold treasures!"
50,Morty,"You know what? I accept your call to adventure, good sir, kind sir. Come on, Rick. There's a giant in the clouds!"
51,Rick,Yeah. Beginner's luck.
52,Meeseeks 1,"In conclusion, a friendship with Summer Smith is the most valuable and enriching experience of your young lives. I'm Mr. Meeseeks! Look at me! Thank you!"
53,Principal Gene V.,"Uh, Mr. Meeseeks, was it? Yeah. Gene Vagina. Listen, I'm in a bit of custody thing with my ex and was wondering- (Meeseeks 1 stops existing)- No, I'll get your info from Summer."
54,Beth,"I got pregnant at 17. I mean, I still put myself through veterinary school. Yes, I'm successful, but what if I hadn't...-(Meeseeks 2 stares attentively)- I'm just saying, somewhere along the way, I lost that wide-eyed girl from muskegon."
55,Meeseeks 2,"She's still there, Beth."
56,Beth,"Well, her waistline isn't."
57,Meeseeks 2,"Beth, having a family doesn't mean that you stop being an individual. You know the best thing you can do for people that depend on you? Be honest with them, even if it means setting them free."
58,Beth,You're saying I should leave Jerry. (Beth starts to cry) I can't believe I'm finally having this conversation.
59,Waiter (man),More wine?
60,Beth,I think I've had enough.
61,Meeseeks 3,"Remember to square your shoulders, Jerry."
62,Jerry,"Yeah, yeah. I got it."
63,Meeseeks 3,That's okay. I'm Mr. Meeseeks! Look at me! Try again and keep your head down.
64,Jerry,"Okay, well, which is it? Square my shoulders or keep my head down?"
65,Meeseeks 3,"Well, it's both. But most importantly, you got to relax."
66,Jerry,"You know what, Mr. Meeseeks? I don't think this is working. I give up."
67,Meeseeks 3 (nervous),"I'm sorry, Jerry, but it doesn't work like that. I'm Mr. Meeseeks. I have to fulfill my purpose so I can go away. Look at me."
68,Jerry,"Well, make yourself comfortable, because I suck."
69,Meeseeks 3,"No, Jerry, I'm the one who SUCKS! Let me try something."
70,Meeseeks 4,I'm Mr. Meeseeks! Look at me!
71,Meeseeks 3,"Hi, Mr. Meeseeks! I'm Mr. Meeseeks! Look at me."
72,Meeseeks 4,Hi!
73,Meeseeks 3,Can you help me get two strokes off of Jerry's golf swing?
