index,name,line
1,Morty,Cool.
2,Rick,"*points out the window* See that planet right there? Don’t fly too close to that planet. Someone’ll come out and try to wash your windshield. (Rick’s phone rings.) Hold on. *picks up* Yup. Yeah, I have it. Where do you wanna meet? Alright, cool. *hangs up* Alright Morty, lesson’s over. We got some business to attend to a few lightminutes south of here."
3,Jerry,"Oh, you still use ‘south’ in space?"
4,Rick,"*startled* WHOA! Jesus, Jerry, what the hell are you doing here?!"
5,Jerry,What
6,Rick,"I guess I remember that. *rubs forehead* Wow. And you’ve just been back there this whole time? Amazing. Well we don’t have time to take him to Earth, Morty. Head for 3124-917."
7,Jerry,*chuckles* Cool! Looks like I’m comin’ along for an adventure!
8,Rick,Yep.
9,Morty,This is where we’re going?
10,Rick,"Nope. (An asteroid-like mass materializes before them.) This is. You can park in a handicapped spot, Morty. Anything with less than eight limbs is considered"
11,Jerry-Sitter,Well look at this fella. *pinches Jerry’s cheek* Aren’t you handsome?
12,Jerry,Thank you! I’m Jerry. *extends hand*
13,Jerry-Sitter,"*as if speaking to a child* Oh, I know you are. Did you come here in a spaceship?"
14,Jerry,"I’m travelling with my son and father-in-law. Uh, wait, are they coming?"
15,Jerry-Sitter,"Oh, they’ll be back soon."
16,Jerry,What?
17,Pajama Jerry,I don’t know how this works!
18,Underpants Jerry,Help me!
19,Jerry,What the hell?
20,Pajama Jerry,"I know, right?"
21,Tuxedo Jerry,"*enters room* Oh, what the hell?"
22,Jerry,"I know, right?"
23,Morty,*looking at a pamphlet* Jerryboree? You created a daycare for my dad?
24,Rick,"You kidding? I wish I had this idea. Well… I did have this idea, but I wish I was the version of me that owned it. That guy’s rich."
25,Receptionist,Don’t forget to check the reason for your drop-off.
26,Rick,"*checks off “Stowaway” and “Annoying me”* Trust me Morty, I’ve heard stories from other Ricks. Jerrys don’t tend to last five minutes off of Earth. This is a totally unregistered cross-temporal asteroid. Here they can romp and play with other Jerrys. It couldn’t be safer."
27,Rick,"Hey Morty, hang onto this. That number’s your dad. If you lose it, we’re not gonna be able to get him back."
28,Rick,"Okay, wait here."
29,Morty,I wanna come with.
30,Rick,"Don’t come with. It’s boring, it’s *burps* business stuff."
31,Morty,"What kinda business do you do in a garage? You know, this seems a little shady."
32,Rick,"Right, like nothing shady ever happened in a fully furnished office? You ever hear about Wall Street Morty? Y-You know what those guys do in th—in their fancy board rooms? They take their balls, and they dip ‘em in cocaine, and they wipe ‘em all over each other. You know, Grandpa goes around, and he does his business in public because Grandpa isn’t shady."
33,Rick,"Ah, crap. *rolls down window* Hey, what’s up?"
34,Krombopulos Michael,"Hey, Rick! Haha! Here you go, three thousand Flurbos! D’you have the weapon?"
35,Rick,"Can… Can we please…? This is my grandson, Morty."
36,Krombopulos Michael,Well hi Morty! I’m Krombopulos Michael! I’m an assassin. I buy guns from your grandpa.
37,Rick,"Ugh. *passes Krombopulos Michael a case containing the antimatter gun* Here, now go away."
38,Krombopulos Michael,"*examines weapon* Ooh, yeah, this looks deadly. So this shoots"
39,Rick,Y-Y-Y-You’re gonna give him your card?!
40,Krombopulos Michael,"I have no code of ethics, I will kill anyone, anywhere! Children, animals, old people, doesn’t matter. I just love killin’!"
41,Morty,…You sell weapons to killers for money?
42,Rick,"Ugh… You’ve got what the intergalactic call a very planetary mindset, Morty. It’s more complicated out here! These are Flurbos. Do you understand what two humans can accomplish with three thousand of these?"
43,Morty,"Uh, what?"
44,Rick,An entire afternoon at Blips and Chiiiitz!
45,Rick,"Aw, this place is the best. It’s got beer, games, prizes, and you can never tell what time it is."
46,Morty,You sold a gun to a murderer so you could play video games?
47,Rick,"Yeah, sure, if you spend all day shuffling words around you can make anything sound bad, Morty. *puts a helmet on Morty’s head* Here, check this out."
48,Roy,Ah!
49,Roy’s mother,"Roy, what’s wrong?"
50,Roy,I…had a nightmare. I was with an old man… He put a helmet on me.
51,Roy’s mother,"It’s just a fever. Get some sleep, I don’t want you missing school on Monday. *walks out of the room and switches off the lights*"
52,Teacher,I want you kids to look around you today and think about your future. (Roy looks outside and sees kids playing with a football. He smiles.) Now is the time in your life when anything is possible.
53,Announcer,"Spiraling perfectly, it’s gonna be caught by Roy Parsons! Roy Parsons is at the 20! (Roy makes eye contact with a girl in the stands.) Now he’s at the 10! Nothing can stop Roy the Rocket! Touchdown!"
54,Roy’s wife,I just think it’s time to get realistic. Have you talked to my father about the carpet store? Roy?
55,Doctor,"Had we caught it sooner… Well, hindsight is 20-20, Roy. What’s important is that we move quickly."
56,Roy,I’m not…ready to die…
