index,name,line
1,Pickle Rick,"(offscreen, in the distance) Morty."
2,Morty,Rick?
3,Pickle Rick,"(offscreen, in the distance) Morty! "
4,Morty,Rick?
5, Pickle Rick,"(offscreen, in the distance) Hey, Mooorty!"
6,Morty,"Rick? Are you far away, or are you inside something? "
7,Pickle Rick,"(offscreen, in the distance) Morty, the garage, Morty. Come to the garage!"
8,Pickle Rick,Morty?
9,Morty,Rick? W-where are you?
10,Pickle Rick,"On my work bench, Morty."
11,Morty,"Are you invisible and you're gonna, like, fart on me?"
12,Pickle Rick,Flip the pickle over.
13,Morty,"What, I'm gonna touch it, and you're gonna tell me it's an alien dick or something."
14,Pickle Rick,"Come on, flip the pickle, Morty. You're not gonna regret it. The payoff is huge."
15,Morty,And? 
16,Pickle Rick,"""And""? What more do you want tacked on to this? I turned myself into a pickle, and 9/11 was an inside job?"
17,Morty,Was it?
18,Pickle Rick,"Who cares, Morty? Global acts of terrorism happen every day. Uh, here's something that's never happened before"
19,Morty,"Are you going to, I mean, you know, is this the first part of some magic trick? "
20,Pickle Rick,"I don't do magic, Morty, I do science. One takes brains, the other takes dark eye liner."
21,Morty,"Well, can you move? Can you fly? "
22,Pickle Rick,I wouldn't be much of a pickle if I could.
23,Morty,"All right, well, do pickles live forever or -- "
24,Pickle Rick,"Morty, stop digging for hidden layers and just be impressed. I'm a pickle."
25,Morty,I-I'm just trying to figure out why you would do this. Why anyone would do this.
26,Pickle Rick,"The reason anyone would do this is, if they could, which they can't, would be because they could, which they can't."
27,Beth,"Morty, we have to get going, or we're gonna be late. Where's your grandpa? "
28,Pickle Rick,"Right here, sweetie. I'm a pickle! "
29,Beth,"What?! Why would you -- Look, we're running late. We have to go."
30,Pickle Rick,Where are you guys going?
31,Beth,"We have an appointment downtown that was set a week ago and agreed upon by everyone, including you."
32,Pickle Rick,"Oh, my God. Beth, oh, it totally slipped my mind. Geez, oh, man. I'm a pickle. I mean, I don't know if I can, ooh, geez."
33,Morty,"Rick, did you do this on purpose to get out of family counseling?"
34,Beth,Morty!
35,Pickle Rick,"It's okay, Beth. I understand Morty's suspicion. I've misled him before. Morty, turn me so we're making eye contact."
36,Summer,Can't you just turn yourself back into a human?
37,Pickle Rick,"Great question, Summer. The unfortunate answer is I did this to challenge myself. And it could take hours or even days before I'm able to figure out how to return to human form. But, I mean, you know, your mom could put me in a purse or a pocket, you know, if she really needs me to go."
38,Beth,"Nobody needs anything! Okay, it's fine. I mean, you should just stay here and figure out how to stop being a pickle, okay? "
39,Morty,"Hey, Rick, why is there a syringe of mysterious fluid hanging directly over you? Also, why is the string attached to it running through a pair of scissors attached to a timer? And why is the time set to 10 minutes from now, exactly when we would have left for therapy? "
40,Pickle Rick,"Well, Morty, if you know must know, the syringe is completely unrelated to this discussion, and, therefore, it does not warrant further explanation."
41,Beth,"Enough. Kids, it's time to go. We don't want to be late."
42,Pickle Rick,"W-w-what are you doing there, Beth? What are you doing there, sweetie?"
43,Beth,"Well, I mean, you don't want to get pierced by a needle full of liquid unrelated to your situation. How's that gonna help?"
44,Pickle Rick,Can't argue with that.
45,Beth,Great. We'll see you later.
46,Pickle Rick,"Hey, hey, be careful with that. It's for something else. It's really important, so don't break it."
47,Pickle Rick,"Okay, I may have fucked up here. Dup, ap, ap, pap, ut, dah, pap, pap, pap, pah. T-t-tah, tah. [clicks tongue]"
48,Pickle Rick,"Oh, great. Stupid cat."
49,Pickle Rick,"Whoa, whoa, whoa, whoa! I know what it looks like to you, Izzy, but I'm not a snake! I've seen the YouTube videos, I know cats are scared of cucumbers and pickles because they think they're snakes. I'm not a snake! I'm a pickle, I'm a pickle!"
50,Pickle Rick,"Whoa! Oh! Whoa, whoa, whoa!"
51,Pickle Rick,"Oh, crap, that sun is bright."
52,Pickle Rick,"Okay, come on. This can't really be the way I go out. This is the mega-genius equivalent of dying on the toilet."
53,Pickle Rick,So... hot. This is how I'm gonna die.
54,Pickle Rick,"Oh, God, moisture."
55,Pickle Rick,"Oh, God, the moisture! Dial it back, God! Dial it back a little bit here!"
56,Pickle Rick,Oh! Oh!
57,Pickle Rick,"Oh, God! Perpendicular, perpendicular!"
58,Pickle Rick,"Oh, shiiit! Oh! Oh! Oh! "
59,Pickle Rick,Come on. That's it.
60,Pickle Rick,Come get this delicious brine.
61,Pickle Rick,"Aah! Come on! Come on, motherfucker! Come on!"
62,Pickle Rick,Yes!
63,Summer,How is this even family therapy if Dad's not invited and Grandpa won't come?
64,Morty,"Yeah, and what's courageous about eating a hot dog?"
