index,name,line
1,Rick,"(stumbles in drunkenly, and turns on the lights) Morty! You gotta come on. You got--... you gotta come with me."
2,Rick,"You know what, Morty? You're right. (throws empty bottle into the backseat) Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. (presses a button)"
3,Rick,"(at the same time) Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? (pushes Morty) What are you, crazy? Alright, alright, Morty. (pushes Morty off of him)"
4,Jerry,"I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer? (Morty falls asleep at the table, smashing his face into his plate)"
5,Jerry,What?
6,Beth,Dad?
7,Beth,"(tears up in happiness) Oh, dad…"
8,Mr. Goldenfold,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two."
9,Class,Awwwwww.
10,Mr. Goldenfold,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room. (Morty stares at the quiz; the numbers on the quiz jumble together as Morty falls asleep) There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3:00. (Morty falls into a dream world filled with large number-shaped blocks; Jessica steps out from behind some of the numbers)"
11,Mr. Goldenfold,Morty! What are you doing to me?!
12,Morty,"(sleep-talking) Ah, Jessica."
13,Mr. Goldenfold,"Five more minutes of this, and I'm gonna get mad. (leans back and bites his lip)"
14,Rick,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. (burps) It's important. Come on, Morty."
15,Morty,"I don't know, Rick. I can't leave school again."
16,Rick,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
17,Morty,"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?"
18,Rick,"I'll do it later, Morty. He'll be fine. Let's go. (takes off with Morty and then Summer comes by, seeing Frank's frozen body)"
19,Summer (in her head),"Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children. (walks up to Frank and talks to him, oblivious to the fact that he's frozen)"
20,Summer,"Hi, Frank. (Frank's frozen foot breaks and he drops to the ground and shatters into a million pieces, dying)"
21,Summer,AAAAAAAAAAAHHHHH!!!!!!!
22,Beth,(performing heart surgery on a horse) Scalpel.
23,Davin,Scalpel. (Jerry enters the room)
24,Jerry,"Knock, knock."
25,Beth,Jerry?
26,Jerry,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"" (The beeping from the medical equipment speeds up)"
27,Tom,(offscreen) We're losing him. (Beth adjusts the horse's organs)
28,Tom,"(offscreen) Okay, he's back."
29,Beth,"Jerry, please tell me you're here for an incredibly urgent reason."
30,Jerry,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia. (the beeping speeds up again)"
31,Tom,(offscreen) Losing him. (Beth adjusts the organs again)
32,Tom,(offscreen) Stabilized.
33,Beth,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
34,Jerry,"Well, yeah, on horses."
35,Beth,Excuse me?
36,Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way. (drops a pamphlet on the ground)"
37,Jerry,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home. (Beth looks at Jerry angrily and the equipment starts beeping faster again)"
38,Tom,(offscreen) We're losing him.
39,Beth,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
40,Rick,"There she is. All right. Come on, Morty. Let's go."
41,Morty,"Oh, geez, okay. (Rick and Morty go through the portal and end up in a crazy alternate dimension)"
42,Morty,"Oh, man, Rick. What is this place?"
43,Rick,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty."
44,Morty,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing."
45,Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— (a gigantic alien monster suddenly appears behind them)"
46,Rick,"HOLY CRAP, MORTY RUN!!! (they take off, running in complete and total fear as the monster chases them)"
