index,name,line
1,Alien,"That is multiphase quantum resonator,"
2,Rick,"Well, does it defraculate?"
3,Alien,Fuck no.
4,Rick,"Then -- then -- then it's a broken defraculator,"
5,Alien,"Like you would even know dick about fraculation! Your planet just got cellphones, and the coverage still sucks!"
6,Rick,"Yeah, yeah, and your species eat sulfur, So, let's say 60 smidgens, I tell you what -- I'll do you a favor, I'll throw in a fart,"
7,Morty,"Hey, uh, Rick, um, you think maybe I could get something from this place, like a souvenir, like, just to have ---like, something cool, you know?"
8,Rick,"Not here, Morty, We'll stop somewhere else, because, you know, there's always another pawn shop,"
9,Morty,"Oh, okay,"
10,Rick,"Oh, it looks cool, huh?"
11,Morty,"Yeah! You know, I mean, it's different from the stuff on earth, and, you know, you take me to all these crazy places across the galaxy, and, you know,"
12,Rick,"Okay, 60 for the resonator, and my grandson wants the sex robot."
13,Summer,"So, we're just going to pretend this isn't happening?"
14,Rick,"I don't know,"
15,Morty,Whew!
16,Jerry,"Well, I'm intervening."
17,Beth,Intervening with puberty?
18,Summer,"Jesus, Did I really set the bar that low?"
19,Morty,"Um, Rick, could you come with me, please -- q-quickly?"
20,Beth,"Okay, now if we hear squeaking, we intervene,"
21,Morty,That is Gwendolyn --
22,Rick,"Strange -- that's usually the man's job,"
23,- Beth,"Okay, unacceptable!"
24,Jerry,What is going on?
25,Rick,"All right, Uh-oh,"
26,Beth,"""Uh-oh""? What is that?!"
27,Rick,"Hmm, I think Morty's robot was designed for more than long weekends,"
28,Summer,"Grandpa Rick, no, no!"
29,Jerry,"Whoa, whoa, whoa!"
30,Beth,"Dad, What do you think you're doing?!"
31,Rick,"Hey, listen -- you guys quarantined the house when Summer brought olives back from Mexico,"
32,Morty,"I lost the chance to be careful, Rick,"
33,Rick,"Don't name it,"
34,Morty,",,,Morty Jr ,?"
35,Rick,"Oh, crap he named it."
36,Beth,"Well, dad, it's a living thing, and it's half human,"
37,Beth,"Jerry, majoring in civics was your mistake,"
38,Rick,"Fine, I'm gonna take this thing to my workshop and do a little bit of investigating,"
39,Rick,"Yeah, Good one, Jerry,"
40,Morty,"Ohh,"
41,Beth,"They always do,"
42,Jerry,"Hey, uh, 1995 called!"
43,Beth,"Why, Jerry?"
44,Jerry,"Life is effort, and I'll stop when I die!"
45,- Rick,"Out,"
46,- Summer,Whatcha doin'?
47,Rick,"Well, I can't solve the problem my way, thanks to your family's primitive biological hang-ups,"
48,- Summer,Don't you need a new companion now that Morty's in the family way?
49,Rick,"I don't do adventures with chicks, Summer,"
50,Summer,"Oh, right -- because there's something about having a wiener that would make me better at walking through a hole?"
51,Rick,"Oh, crap,"
52,Summer,Grandpa Rick! Ugh!
53,Summer,Aaaaaaaaaaaaaaaaah!
54,- Rick,Still think it's a good idea to go through holes without a wiener?
55,- Summer,"I want to go home,"
56,- Rick,"Yeah, no duh,"
