index,name,line
1,Girl 1,"So, Jessica, I heard you broke up with Brad."
2,Girl 2,Who are you gonna date; now that you can date anyone?
3,Jessica,"I don’t know. I mean, obviously if someone special comes along. B-But I mean really special, like, nothing I’ve even remotely considered in the past."
4,Morty,(muttering while fixing his hair) Holyshitholyshitholyshit.
5,Girl 1,I want that kind of love like that docking kind of love.
6,Girl 2,"Oh, yeah."
7,Girl 1,"Like, penis in the foreskin kind of love Mm-hmm just, like, warm, just like..."
8,Morty,Hey... (Cough) ah...
9,Rick,"Everybody, fuck off. Morty, I need your help. W-W-W-We We need to go on a quick adventure."
10,Morty,You said I could go to school today.
11,Rick,"That was before I needed something, Morty. There’s a plasma shard in the Abadango Cluster. A princess has it. If I get it, I’ll be awesome."
12,Morty,"We’ve been going non-stop, Rick. It’s not healthy. You know, these are my teenage years. I-I just found out Jessica’s single."
13,Rick,"Oh, that’s Wow, Morty. Wow. What an exciting life you lead. (shoots portal) Let’s go. In and out, 20 minutes adventure."
14,Morty,They’re on our tail!
15,Rick,"Steady, Morty. Five cetons."
16,Morty,Wha!
17,Rick,Fire!
18,Rick,"Pull up, Morty, pull up! Pull up!"
19,Rick and Morty,(sigh)
20,Rick,(continues sighing) Fuck.
21,Morty,(crying)
22,Rick,"(screams) Oh, fuck! Fuck! Ahh! Ahh!"
23,Morty,I can’t fucking do this anymore!
24,Rick,That was seriously fucked up. We almost died.
25,Morty,So you agree?
26,Rick,Fuck yes! That w... T-This was insane! That was pure luck. I was not in control of that situation at all.
27,Morty,(continues crying)
28,Rick,"(notices his hands shaking) Look at this, Morty. Look at my fucking hand. Look at this shit."
29,Morty,Why do you... Keep doing this to us?!
30,Rick,"I don’t know, Morty. Maybe I hate myself, maybe I think I deserve to die. I-I-I-I don’t I don’t know!"
31,Morty,(cries again)
32,Rick,We need a vacation.
33,Rick,Isn’t that something?
34,Morty,You were right. Best day spa in the galaxy. 
35,Rick,"It's not even cruel, either. These things are just doing what they do in the wild. It loves swallowing stressed-out creatures for 20 minutes and then puking them up."
36,Morty,My whole body’s like a baby’s ass.
37,Alien,"Complimentary psychological detox? Removes all your cognitive toxins, (clears throat) purifies your system. "
38,Rick,"Oof, this guy on commission or something?"
39,Morty,I don’t think. Are you on commission?
40,Alien,We’re not on (gurgle) commission. We get (gurgle) paid by the hour. There’s no incentive really-
41,Rick,"(Annoyed) Oh, my god. Okay, listen. W-W-W-We’ll try the machine, but but I’d like you to try something. Try swallowing the giant ball of snot that’s dangling around in the back of your throat. (Throws drink on the ground while getting in the aliens face) It’s disgusting. Nobody wants to hear that. Ahem. Ahem! That’s"
42,Morty,(Grabs Rick by the arm and drags him into the room)
43,Rick,"Wow, did you hear me bite that guy's head off? Geez, I really need to chill. "
44,Morty,Maybe you should go through
45,Rick,"All right, mister comedy man, you don’t have to bust my balls. You’re not helping things."
46,Morty,"Rick, is this thing supposed to be making this no-"
47,Toxic Rick,(He stands up and shouts out for Morty.) Morty!
48,Toxic Morty,(Toxic Morty is seen almost completely sunk inside the mud.) (Waves his hand weakly to get Rick's attention.) R-Rick.
49,Toxic Rick,Morty! (He walks up to Toxic Morty and forcefully grabs him and yanks Morty out and back onto his feet.)
50,Toxic Morty,Ugh! What Happened?
51,Toxic Rick (Yelling at scared Toxic Morty),"We blew up, idiot! Are you really that stupid? Obviously the guy I yelled at overloaded the machine. It takes more than that to kill Rick and Morty, motherfucker! "
52,Toxic Rick,"But this might do it. Run, Morty! "
53,Toxic Morty,E-Everything hurts! 
54,Toxic Rick,"That’s because you’re worthless! (He steps on a creature’s face that’s in the muck, killing it.) Jesus, how big was this explosion? I’m a genius. I don’t have time for this shit."
55,Toxic Morty,"(Scared, in the fetal position) W-W-We’re in Hell, aren’t we, Rick? "
56,Toxic Rick,"(Points at Toxic Morty, yelling at him.) You’re so stupid, Morty. You’re an (Belches) idiot. There’s no such thing as Hell. "
57,Toxic Morty,"I believe you, but I just want to die. "
58,Toxic Rick,You can die when I say so. I control you. I control the universe! Why am I bragging about that? I have nothing to prove. I’m surrounded by inferior pieces of shit and – 
59,Toxic Rick,"Toxins. We’re not in Hell, Morty. (Looks around) We’re in the detoxifier. The machine didn’t blow up. It worked normally. (Wipes goo off of his arm) It removed our toxins. (He grabs Toxic Morty's face.) We’re the toxins. "
60,Toxic Morty,(Starts screaming in terror) Aaaaaaaahhhhhhh!
61,Toxic Rick,"Are you listening, you stupid little garbage person?! (Shakes Toxic Morty) We're what got removed! "
62,Alien,I hope you both found that detox sufficiently relaxing. 
63,Rick,"Hey, man, listen Those comments I made about your throat? "
64,Alien,(Clears throat and swallows.) (Puts his hands up.) It’s all good. 
65,Rick,"It’s nice of you to let me off the hook. It’s still unacceptable behavior, and I do regret it. "
66,Alien,"Believe me, man, I’ve been working here a long time. I get it."
67,Morty,"Hey, uh, you mind if I put on some music? "
68,Rick,Not at all. 
69,Radio,Grab my terrifolds...
70,Rick,What
71,Morty,I just hit shuffle. 
72,Rick,Are you kidding? 
73,Morty,Haha.
74,Rick,"This universe. (Burps) Oh, excuse me. "
75,Morty,We should listen to one random song a
76,Rick,That is an interesting concept. You
77,Morty,"Hoo, if anyone could, Rick. "
78,Rick,"Hey, here’s"
79,Morty,"Thanks, Rick. I love you."
80,Toxic Rick,"Yeah, motherfucker! Yeah! Get it! Get some! Right up your fucking bitch ass, you fuck! Guess who just discovered a new element?! You think you could do that, Morty? You think anyone but me could do that ever in a billion years? Do you think if God existed he could do it? The answer is no. If God exists, it’s fucking me!"
81,Toxic Morty,"Yes, Rick. I-I agree, Rick."
82,Toxic Rick,"While you were flapping your parasitic turd holster, I discovered the toxic equivalent of electricity, Morty. What do you think about that? "
83,Toxic Morty,Uh I th-I think my voice is annoying.
84,Toxic Rick,"It is, and it’s your best quality."
85,Toxic Morty,(Sad) So true.
86,Mr. Goldenfold,"Now, who can tell me the common denominator of these two factions? You don’t know or y’all just bored? "
87,Morty,"Hey, listen, you know, wh-If we’re all bored over here, wouldn’t the common denominator be you? "
88,Mr. Goldenfold,"Damn, Morty. That’s hilarious. Normally I would come down on any kind of disruption, but it seems to represent a positive change for your character. Class dismissed! "
89,Off screen student,"Awesome, Morty!"
90,Student with glasses,"You done good, Morty. (High fives him.)"
91,Off screen student 2,Oh yeah!
92,Female student,"Thanks for the advice, Morty."
93,Morty,You got it.
94,Female student 2,"I did it, Morty! "
95,Morty,I knew you could.
96,Mitch,"Hey, Morty, remember yesterday when I couldn’t play the trombone? Well, check this out! (Plays a tune on his trombone.)"
97,Morty,"(Snapping his fingers) Just like I told you, Mitch. The music was in your heart the whole time."
98,Female student looking into her mirror,Stupid hat Wish I had the courage to just be myself.
99,Female Student,(Smiles) There you are.
100,Bully,"You might have all these idiots fooled, but I know you’re still the same pathetic loser hiding behind a confident facade. I know that because I’m doing the same thing, brother. I’m not alone anymore! "
101,Jessica,"Hey, Morty. Word around school is you’ve become super healthy."
102,Morty,"I don’t know about all that. I do, however, know that I have a pretty bad case of haven’t taken you to dinner-itis. Might be fatal. Hahaha!"
103,Rick,(Walks up to Morty and Jessica)
104,Morty,"Happy to help, Rick."
105,Rick,"I hate to bug you with this, but after our morning hike I started receiving very faint, highly unusual transmissions on my sub ether phone. Listen."
106,Morty,"It’s a bad phone. Chuck it. I downgraded to a clamshell for emergencies only. You know, if if if something’s worth saying, I-it’s worth eye contact."
107,Rick,"Uh, I-I-I traced the source of the call back to the spa we went to, Morty. I thought I could hear a voice in there, so I enhanced it, a-and listen."
108,Toxic Rick,"Hey, asshole! "
109,Toxic Morty,"Oh, man! "
110,Toxic Rick,Remember us? 
111,Toxic Morty,"Oh, I don’t like confrontation! "
112,Toxic Rick,"You fucked us, you pieces of garbage! That’s right, you’re fucking garbage, not us. I’m a fucking genius and a god. You really think this thing can hold me? I’m gonna rip your throat... "
113,Rick,"Morty, what if the toxic parts of us have their own identities, their own will to live? "
114,Rick,W-What if mine shares my intelligence and devised a way to reach out to us? 
115,Morty,"Sounds like he’s in a lot of pain. Lot. O. Pain. But, you know, you shouldn’t have to deal with that, man. You know, l-let’s work off your trauma with some urban spin yoga. It’s amazing. You do yoga on a bike, but you have an at-risk preteen-"
116,Rick," I don’t think I can just blow this off, Morty. If I had known it worked this way, I wouldn’t have detoxed. Well, I would have because I was toxic. Now I’m detoxed and I’m accountable to my toxins, right? I-It’s a dilemma."
117,Morty,I think I know what to do. (Grabs Rick's phone and breaks it in half.)
118,Rick,Morty!
119,Morty,"Rick! Haha. (Hops off the car.) You know, the only problem here is a big fat brain that misses eating all them big fat problems. Focus on the good thing. Trust me, things are good. Taking that away from me, heh. That wouldn’t be healthy."
120,Morty,"Hahaha! Hahahaha! Oh, man. World’s Greatest Grandpa, for reals. (Walks away.) It’s not just a coffee cup for you, bud. You’re legit. (Catches a football that was kicked towards him, and chucks it back to an off screen person.)"
121,Morty,I love drums. I never took drum lessons. Why? Limitations. We are addicted to our own limitations. How amazing is that? Is the kale prepared in the kitchen? I’ll have a water. 
122,Jessica,"Uh How is the ""cru-dite?"" "
123,Waiter,CruditÃ©. It’s a cup of carrot sticks.
124,Morty,Ha! It’s okay! Pronounce it however you want. Words are just things. Please. Thank you. We’re having a conversation.
