index,name,line
1,Morty,"Summer, next time we're hiding in a Colorkian echo nest, can you do me a favor and turn your ringer off?"
2,Summer,"It's called ""carpe diem"", Morty. Look it up."
3,Morty,You look it up! Y-Y-You don't even-You don't even know what it means!
4,Summer,That's because losers look stuff up while the rest of us are carpin' all them diems.
5,Rick,"Listen to your sister, Morty. To live is to risk it all. Otherwise, you're just an inert chunk of randomly assembled molecules drifting wherever the universe blows you. Oh, I'm sorry, Jerry, I didn't see you there. H-How much of that did you hear? "
6,Jerry,All of it. You were looking right at me. I just wanted to say goodbye to the kids.
7,Rick,"Cool. Just stay in the driveway. The killbots are live, and I took you off the whitelist."
8,Morty,"W-We'll see you every other weekend, though, right?"
9,Rick,"Absolutely, Morty. A-And your mom's lawyer says if I can get enough in the settlement, he can help me sue for full custody."
10,Morty,"Th-That'll be nice. Uh, Summer, Dad's leaving!"
11,Summer,"Bye, Dad. Rick, didn't you say you needed my help on an adventure immediately somewhere else I don't care even if it might kill us?"
12,Rick,"I did not, but if you're really that alienated, I'm as willing to exploit it as the next guy, church, army, or Olympic gymnastics trainer."
13,Summer,I'm ready when you a--
14,Rick,"Bitch, I was ready yest--"
15,Jerry,"Bye, sweetie."
16,Morty,"Well, I-I better--"
17,Jerry,Sure. Sounds important.
18,Jerry,"If you're looking for our kids, your father did a-a portal, uh--"
19,Beth,Okay.
20,Wind,(faint) Loser...
21,Jerry,What? Hello?
22,Rick,"Morty, shoot the mohawk guy!"
23,Morty,They all have mohawks!
24,Rick,"High fade, chartreuse with cyan highlights, layered on top. Shoot him! "
25,Mohawk Guy,Ah!
26,Death Stalker #1,Light them up.
27,Mohawk Guy,Ahh!
28,Rick,"Fuck! Get in the game, Morty!"
29,Summer,Give me your flask!
30,Rick,"Holy shit, Summer for the win! "
31,Summer,I fucking love post-apocalyptic versions of Earth!
32,Rick,Here we go.
33,Rick,Isotope 322. 
34,Morty,"Uh-huh, yeah, is it powerful enough to keep those guys from murdering us?!"
35,Morty,Summer!
36,Summer,Hold on. I want to try something.
37,Morty,"Rick, can we not leave without my sister?!"
38,Rick,"Ugh. You have infinite sisters, Morty. I mean, n-not that I want to spend the rest of my day looking for another one. Sum-sum, let's go! Grandpa's concern for your safety is fleeting!"
39,Colossus,Your blood will be my lotion.
40,Rick,Whoa. That was cool.
41,Colossus,"Kill me, please."
42,Summer,"Okay, but not because you told me to."
43,Morty,Summer!
44,Rick,"Okay, getting darker."
45,Morty,Jesus Christ. Summer! 
46,Rick,"Aw, come on."
47,Rick,Hands and little shoulder-mounted dudes where I can see them!
48,Hemorrhage,I am Hemorrhage. You have removed weak blood from us and made us stronger. We can combine our strength and feast on the weak together.
49,Rick,Wh-Wh-What in the hell are you saying?
50,Summer,They don't have to keep trying to kill us if we join them. They're basically pussies.
51,Morty,What is your deal lately? 
52,Rick,"All right, let's get sloppy. Oh, whoa. Uh, uh, what's, uh-What's that little bauble you got back there? "
53,Hemorrhage,"That is our glowing rock. We carry it with us for desecration, to remind us there are no gods."
54,Rick,"Kids, weird pitch"
55,Summer,(grinning) Okay.
56,Morty,What?!
57,Summer,"Grandpa, some of the Death Stalkers are going to what used to be Seattle to hunt what used to be people. I'm going."
58,Rick,Sounds good. Stay hydrated.
59,Morty,"Listen, Rick, Summer's been acting pretty crazy lately. You know, I mean, I-I think the divorce is affecting her. And, you know, I don't think this is a great place for her to be right now."
60,Rick,"Oh, get off your high horse, Professor Ski Lodge. This world may be rough around the edges, but it's got its charms."
61,Lunch server,Bicep or quadricep?
62,Rick,Uh... [clears throat] bicep.
63,Morty,"(after a short pause) Seriously, Rick? Is it really easier to eat human flesh than to just tell me why we're still here? "
64,Rick,"No. Okay, I'll level with you."
65,Rick,"You see that green rock, Morty? It's about 20 pounds of the stuff I was getting all hard for a flake of."
66,Morty,Isotope 322.
67,Rick,"Well, having a 20-pound boulder of it is better than having a flake. I can explain the math to you later, but--"
68,Morty,"Summer just ran off with strangers that have ""Death"" in their name, and the rest of their name was ""Stalkers""!"
69,Rick,"Huh, could be therapeutic for her. She has been acting pretty crazy lately, Morty. I mean, her parents are going through a divorce."
70,Morty,"Damn it, Rick, that's what I-- Fine. Just grab the stupid thing while I grab her, and let's get the ""F"" out of ""H""!"
71,Rick,"No, no, no. Morty, there's too much heat on the bogey. I need you to distract the camp."
72,Morty,"""Distract""? They eat each other. Wha-What do you want me to do to get their attention, put on a puppet show?"
73,Rick,"Right idea, wrong genre, Morty. The equivalent here would be..."
74,Death Stalker #2,"Uh, you mean the Blood Dome? "
75,Rick,"Save it for the Semantics Dome, E.B. White."
76,Death Stalker #3,"(offscreen) Ooh, burn!"
77,Rick,"The important question is, who wants to take a poke at my man Spine Eater here? "
78,Morty,"Rick, what the hell, man?! Wh-What are you, out of your mind?!"
79,Rick,"Morty, relax. You're gonna be a ringer. Come here. "
80,Rick,Ugh! Hey!
81,Morty,I-I didn't do that!
82,Rick,"Okay, this is exciting. We're making some discoveries about muscle memory."
83,Morty,Ooh! Help! Help! 
84,Death Stalker #4,"Oh, sweet, man!"
85,Eli,"And so it begins, my pretties!"
86,Morty,"Oh, God! Stop! Stop! This is horrible!"
87,Rick,"Just stick and moo-[burps]-oove, Morty! Wear him out!"
88,Summer,"How come you guys dress like you're in a theme-park stunt show, but these guys wear khakis and hockey jerseys?"
89,Hemorrhage,"After the ""boom-boom"", some adapted to the new truth, and some chose to huddle near the boomy holes, clinging to the lie of the beforefore times. The raidy-rays rotted them away, leaving only their love for the vertvertisements on billyboards."
90,Summer,"Jesus Christ, did the ""boomy-booms"" blow up all your ""wordy-word books""? "
91,Hemorrhage,You mean dictionaries?
92,Hemorrhage,I think I was a child before the boom-booms. I think I looked like this.
93,Summer,Want to piss on it? 
94,Hemorrhage,Get out of my head.
95,Eli,Ha ha! Whoo! Unbelievable! A new champ!
96,Morty,"Okay, no more!"
97,Eli,And he wants more!
98,Morty,"No, I don't!"
99,Morty,"Someone, make this stop! "
100,Summer,Morty.
101,Morty,"(while beating up the Death Stalker) Why would you want this to happen? All you had to do was go away! Stop standing in the driveway talking about custody! And either tell her you want to stay married or get on with your life, but whatever you do, stop being a baby and act like a man! "
102,Summer,"Morty, that was amazing! This is my brother! Not that family means anything! Hemorrhage"
