index,name,line
1,Summer,"Bye, mom! Bye, dad!"
2,Morty,Drive carefully!
3,Rick,"Have fun, you two."
4,Beth,"Yes, we will have as much fun as possible on our... (Sarcastic and moody) Titanic-themed getaway."
5,Jerry,"(Finishes packing the car, and closes the door of the car.) Let's lose the 'tude, please. It's supposed to be romantic. (Opens the passenger seat door.)"
6,Beth,"Speaking of disasters, dad, we are leaving you in charge, here."
7,Rick,"I know, c-can we wrap this up? Morty and I (belching) have some synthetic laser-eels oxidizing in the garage."
8,Beth,"(Angry) Hey, don't blow me off. I am drawing a line, okay? Any damage to this house or these children when we get back, and... no more adventures with Morty. (Opens the car door off screen.)"
9,Morty,"Aw, geez, Rick! If my mom's the one who's saying it, then you know it's pretty serious this time."
10,Beth and Jerry in unison,That's right.
11,Jerry,Wait... What?
12,Rick,"Listen, you have my word as a caregiver, everything's gonna be fine. And if not, like you say, no more adventures or whatever. It's like that old song ""blomp blomp-a noop noop a-noop noop noop"". You guys know that song? (Elbows Morty.) From Tiny Roger's? You never heard of it? You know, the black effeminate guy from the '50s?"
13,Rick,"No-nobody? (Angry) A-all right, whatever. Look, who cares? Just go on your stupid trip."
14,Jerry,(Serious) Not one thing out of place.
15,Jerry,Not a single thing.
16,Summer,"(Happy) Well, we're past the point of no return. I'm going to have a party."
17,Summer,(Off screen) I found Jello.
18,Summer,"Can you sneak your mom's vodka? Yes, she does. I saw it in your laundry room. (Grabs another box) Listen, you can't both be in denial about it. Okay, bye. (Stops the call)"
19,Morty,"Summer, you can't throw a party! Remember what mom said?"
20,Summer,"Yeah, if anything gets messed up, you and grandpa Rick get punished. I'm only a human being, Morty."
21,Morty,"Rick, tell Summer she can't have a party!"
22,Rick,"(Pulls out a tray with canapes on it, and places it on the bench off screen.) Uh, Summer, you can't have a party."
23,Summer,Ugh.
24,Rick,"(Back on screen.) Because (burp) I'm having a party, b-I-I-I-itch! (burp)"
25,Morty,"Oh, what?! Rick, you can't!"
26,Summer,What do you mean you're having a party? (Sarcastic) Are some glip glops from the third dimension going to come over and play cards or something?
27,Rick,"""Glip glop?""  You're lucky a Traflorkian doesn't hear you say that."
28,Summer,Is that like their n-word?
29,Rick,"It's like the n-word and the c-word had a baby, and it was raised by all the bad words for Jews. (Drinks from a soda can.)"
30,Morty,"Listen, I think the three of us could just, you know, have a nice time, like just hanging out, and, you know, doing a little bonding and -- "
31,Summer,(Interrupts Morty) screw that. This is my chance to gain some footing with the cool kids.
32,Rick,"That's why you party? Boy, you really are 17."
33,Summer,Why do you party?
34,Rick,"To get (burp) wr-wriggedy wriggedy wrecked, son!"
35,Summer,Just keep your sci-fi friends away from my awesome ones.
36,Rick,"Yeah, and you keep your awesome friends away from my canapes. (Places a piece of food into his canapes to finish preparing them.)"
37,Tour Guide,"After dinner, Titanic 2 will attach to the rail system near our replica iceberg, and the hydraulics encased in these tubes will execute a controlled sink into the icy depths."
38,Jerry,A rail system seems archaic for an attraction this impressive. Are you sure the ship will sink?
39,Tour Guide,"I can assure you the ship will sink, as it has a thousand times before. It is un-unsinkable."
40,Jerry,"(Notices the front of the Titanic, full of people.) Ooh! Look, it's the line for the bow!"
41,Beth,"(Bored and unimpressed) Jerry, I'd love to just kick back with a Margarita and read. "
42,Beth,"Do you mind if I skip the whole ""king of the world"" bit?"
43,Jerry,"Well, it's not the ""king of the world"" bit. That's Jack and fabrizio. (Grabs Beth's hat and places it on her head.) This is where rose says, ""I'm flying, Jack!"" But whatever. I can be the only one to do it alone."
44,Beth,"(Looks to her right, and smiles.) Well, what about her?"
45,Beth,"Excuse me, ma'am. Would you like to take my place in line?"
46,Lucy,"(Shy) I, uh -- I could get into trouble."
47,Beth,(Takes off her hat and places it onto Lucy's.) We won't tell.
48,Jerry,So... You're a Titanic fanatic?
49,Lucy,"Oh, yes. I've worked here since it opened, but I've never been able to participate."
50,Jerry,Happy to help... rose.
51,Tammy,"(To a girl) I love watching bukkake. I mean, like, I don't know if I personally would ever do it..."
52,Summer,Brad! Hey!
53,Brad,Yo.
54,Tammy,"(To the girl) Brad is here! Quick, make my hair look drunk."
55,Brad,Check it out. Tammy's already drunk. Cool.
56,Birdperson,The beacon was activated. Who is in danger?
57,Summer,Ugh! Grandpa!
58,Rick,Birdperson!
59,Birdperson,I am pleased there is no emergency.
60,Rick,"Oh, there's an emergency, all right. (He puts his arm around Birdperson) A pussy emergency! When's the last time you got laid, 'pers?"
61,Birdperson,It has been a... challenging mating season for birdperson.
62,Rick,"Then it's time to get your beak wet tonight, playah. (Leads Birdperson into the house) Go have some fun out there birdp-- bird-- birdperson."
63,Morty,"Oh, man, how many people did you invite, Rick?"
64,Rick,"Uh... people? Mm, six."
65,Rick,"Yo! What up, my glip glops?!"
66,Morty,"Oh, man!"
67,Morty,"(Walking around picking up trash from the ground and putting it in a garbage bag. The house is very crowded) (Huff) (Huff) Oh! Y-y-you know there's a garbage, right?"
68,Morty,"Hey, uh, what the hell?!"
