index,name,line
0,Morty,"Hey Rick, I have to make a project for the science fair this weekend. You think you could help me out?"
1,Rick,Whatever.
2,Jerry,"Well, um, traditionally science fairs are a father-son thing."
3,Rick,"Well, scientifically, traditions are an idiot thing."
4,Beth,"[typing on phone] Morty, I think it will be fun for you to work on a science project with your dad."
5,Morty,"[putting away phone, clears throat] Yeah, dad, why don’t we do it together?"
6,Jerry,"Yes! You backed the right horse on this one, son! We’ll get out the crayons, brew some coffee and knock this thing out in two or three days."
7,Butter robot,What is my purpose?
8,Rick,Pass the butter.
9,Rick,Thank you.
10,Morty,[sighs]
11,Summer,"Dad, I need a ride to work."
12,Jerry,Maybe Rick can give you a ride. I’m helping Morty with science.
13,Rick,I’m busy.
14,Summer,Doing what?
15,Rick,"Uh, anything else?"
16,Butter robot,What is my purpose?
17,Rick,You pass butter.
18,Butter robot,[looks at its hands] Oh my god.
19,Rick,"Yeah, welcome to the club, pal."
20,Rick,Since when did you have a job?
21,Summer,Since last week. It’s part time at this little vintage thrift store. My boss is this really smart eccentric old man that treats me nice and values me.
22,Rick,"Wee-ow, can’t wait to meet this fascinating character."
23,Summer,Please don’t.
24,Goldenfold,Oh… when did this stop being jamba juice?
25,Needful,"I’ve just recently opened for business, Mr, um, Goldenfold."
26,Goldenfold,You know my name? That’s disarming.
27,Needful,I also know you long for female company.
28,Goldenfold,"You know, it has been lonely since the divorce. Some voids can’t be filled with jamba juice."
29,Needful,This aftershave makes a man quite irresistible to women. Free of charge
30,Goldenfold,Nothing to read into there! Thanks!
31,Summer,"Sorry I’m late, Mr. Needful. This is my grandpa Rick, he was just leaving."
32,Rick,(inspecting objects) Huh.
33,Needful,"Tell me Rick, what do you desire?"
34,Rick,"Eh, I make my own stuff. So what are you, like, the devil?"
35,Needful,What? Sorry?
36,Rick,"I dunno, store comes out of nowhere, all the shit’s old and creepy; are you the devil? A demon? Leprechaun?"
37,Summer,Grandpa Rick!
38,Rick,"Hey, I’m not judging. I just like to shoot straight. I’m a man of science."
39,Needful,Ahah. Then perhaps you could make use of this. [picks up microscope] This microscope reveals things beyond comprehension. Hahahaha.
40,Rick,Hahahahaha.
41,Summer,"Grandpa, go home and drink!"
42,Jerry,Why don’t we do a model of the solar system? That’s what my dad did with me when I was your age.
43,Morty,Oh. Ok.
44,Jerry,"You know, Rick’s in his lab making cyborgs and wormholes and all that weird stuff, but this is real science! A man and his boy, making planets! Hey, how ‘bout we use a ping-pong ball for Pluto, and then Jupiter-"
45,Morty,"Uh, actually, I don’t think Pluto’s a planet."
46,Jerry,"[laughing] Of course Pluto’s a planet, son, I learned that in the third grade."
47,Morty,"Well, yeah, but, you know, they changed it."
48,Jerry,"Morty, nobody changed the planets."
49,Morty,"I just googled it. Uh, Pluto’s not a planet. They changed it in 2006."
50,Jerry,"Yeah, I heard about that, Morty. And I disagree."
51,Morty,You… disagree?
52,Jerry,"That’s right. It’s possible to disagree in science, Morty. Pluto was a planet, some committee of fancy assholes disagree, I disagreed back. Gimmie a ping-pong ball."
53,Morty,"Um, ok, I just have to-"
54,Jerry,Go find Rick and go for my head about Pluto?
55,Morty,Gee-no! Geez! I just gotta go to the bathroom! Damn!
56,Jerry,Oh. [coughs] Okay good. This is gonna be fun!
57,Rick,"Hey, Morty, lemme ask you a question real quick. Does evil exist, and if so, can one detect and measure it?"
58,Morty,Um…
59,Rick,"Rhetorical question Morty. The answer is yes, you just have to be a genius."
60,Rick,Your sister’s boss gave me a microscope that would have made me retarded.
61,Morty,"Ooh, oh boy Rick, I don’t think you’re allowed to say that word, you know?"
62,Rick,"Uh, Morty, I’m not disparaging the differently abled. I’m stating the fact that if I had used this microscope, it would have made me mentally retarded."
63,Morty,"Okay, yeah, but I don’t think it’s about logic, Rick. I think the word’s just become a symbolic issue for powerful groups that feel like they’re doing the right thing."
64,Rick,Well that’s retarded.
65,Jerry,What are you guys talking about?
66,Rick,Apparently nothing.
67,Jerry,"You asked him if Pluto’s a planet, didn’t you?"
68,Morty,No!
69,Rick,It’s not.
70,Jerry,"Shut up, Rick."
71,Rick,Whoa.
72,Jerry,"I don’t care what anyone says. If it can be a planet, it can be a planet again. Planet. Planet, planet, planet."
73,Rick,"Stay scientific, Jerry."
74,Goldenfold,This aftershave made women want me but it also made me impotent!
75,Needful,"A price for everything, Mr. Goldenfold. A price… for everything! Muahahahaha!"
76,Goldenfold,(crying) Oh my god! How can I not see this coming? My lust! My greed! I deserve thi-
77,Rick,This serum should counteract the negative effects.
78,Goldenfold,"[looking into own pants] Holy cats! Ladies, let’s get out of here."
