index,name,line
1,Rick,"Alright, Morty. You ready for our adventure to the lost city of Atlantis?"
2,Morty,"*gives a thumbs-up* Ready as I’ll ever be, Rick!"
3,Rick,"Oh, for fuck’s sake."
4,Rick K-22,"*holding clipboard* Hello, I’m Rick K-22. This is my Morty. (Morty K-22 waves.) We’re going from reality to reality, asking Ricks to contribute to the Citadel of Ricks redevelopment fund."
5,Rick,"What are you, stupid? We’re done with the Citadel of Ricks. I was *burp* never on board with it in the first place, that’s why I murdered everyone in charge and left it to rot."
6,Rick K-22,*examines clipboard* Ohhh. That was you. *passes clipboard to his Morty*
7,Morty,They tried to murder him first.
8,Morty K-22,"Oh geez. Well, you’ll be happy to know that... the Council’s gone now."
9,Morty,"Yeah, he knows. He murdered them."
10,Rick K-22,You wanna rein in your Morty?
11,Rick,*glaring* Every day.
12,Morty K-22,*reading from script* The Citadel of Ricks redevelopment fund donates--
13,Rick K-22,"*interrupts* Morty, he’s not gonna *belch* donate. You’re pitching the policeman’s ball to a black teenager here. *pulls out his portal gun and shoots a new portal* Let’s go."
14,Rick,You don’t have to be a dick.
15,Rick K-22,I think you know that’s not true.
16,Morty,Geez. I didn’t know there were still Ricks and Mortys living on the Citadel. I wonder what their day-to-day lives are like.
17,Rick,"*straps harpoon gun to his back* Well, you can keep wondering that while we go on our fun, fresh, self-contained adventure to Atlantis. *shoots a portal* Anyone continuing to explore the Citadel is either stupid, or one of the unfortunate millions held hostage by their terrible ideas."
18,Morty,Man. Glad I’m not one of them!
19,Rick (voiceover),Citadel Morning News
20,Rick D716-B,Good morning. I’m Rick D716-B.
21,Rick D716,And I’m Rick D716.
22,Rick D716-B,Must be nice.
23,Rick D716,Coming up! Gravity outages in East Sanchez Heights!
24,Rick D716-B,"And, is your uranium-powered cellular matrix making you sick? The answer may not surprise you. It’s ‘yes, it’s uranium.’"
25,Rick D716,Those stories and more after this break.
26,Narrator,"Sixteen iterations off the central finite curve, there’s a Rick that works more with wood than polarity plating."
27,Narrator,"His name is Simple Rick, but he’s no dummy."
28,Narrator,He realized long ago that the greatest thing he’d ever create was his daughter.
29,Young Beth,I love Daddy!
30,Narrator,We captured that moment and run it on a loop through Simple Rick’s mind.
31,Narrator,And the chemical that makes his brain secrete goes into every Simple Rick’s Simple Wafer Cookie. (Said wafer is displayed on-screen.) Come home to the impossible flavor of your own completion. Come home to Simple Rick’s.
32,Rick D716,Just one day remains before our newly democratic Citadel elects its first president. It’s anyone’s race among the Rick candidates.
33,Rick D716-B,But a certain other candidate should be getting at least one vote for most adorable.
34,Rick D716 (voiceover),"That’s right, the Morty Party candidate’s still in the race, and you just gotta love him for that."
35,Rick D716 (voiceover),"Here you see him in his little Morty suit, waving. Isn’t that adorable? Little jackass."
36,Rick D716-B (voiceover),"Uh, yeah, I think we actually have the audio for his speech here. “Aw geez, aw man, I’m gonna lose the election and stuff.”"
37,Campaign Manager Morty,"We had a good run, sir, but I think it’s time to pull out of the race."
38,Candidate Morty,I feel pretty confident about tonight’s debate.
39,Campaign Manager Morty,"You shouldn’t, sir. You should be terrified."
40,Candidate Morty,"Maybe you should find a little faith, young man."
41,Campaign Manager Morty,You don’t pay me to have faith! And we’re the same age!
42,Cop Rick,"Oh! S-sorry, I was expecting--"
43,Cop Morty,"A Rick partner? Lesson one, rookie"
44,Morty,Mortys are human!
45,Cop Morty,"Get the fuck off the car, you Rickless fuckin’ animal!&nbsp;(He pulls a lever and the car sends a taser shock through Morty, who falls aside.)"
46,Morty,WHOA!!&nbsp;(The Mortys disperse and Cop Morty resumes driving.)
47,Cop Morty,The election’s got these yellow shirts more riled up than a Picture Day Jessica.
48,Cop Rick,"That’s pretty harsh, sir."
49,Cop Morty,So report me. Nobody gives a fuck.
50,Cop Rick,"Look, I’m just saying. Makes me a little sad to hear a Morty cop calling Mortys “animals”."
51,Cop Morty,"Well, it makes me sad to see another Rick cop buying into his sensitivity training."
52,Cop Rick,"Well, I’m glad to know there’s more like me."
53,Cop Morty,"Oh, there was one. Why do you think that seat was empty?"
54,Dispatch,Robbery at Fifth and *BURP* Avenue.
55,Cop Rick,Fifth and *BURP*? That’s Mortytown.
56,Cop Morty,(to dispatch) Unit 7 responding.
57,Students,This is a great adventure.
58,Students,I love being your new Mor...
59,Slick,(substituting for the word Morty) Farty!
60,Teacher Rick,"Very amusing, Mr. Smith. Almost as amusing as when your first Rick was decapitated on Zorpathion 9. (Slick’s smug face becomes downcast.) Or was that your third Rick? How many Ricks have you had?"
61,Slick,Five…
62,Teacher Rick,"I see. So you are top of the class in something. (All the Mortys besides Slick laugh.) Tomorrow you will be transferred to your new Ricks. Hopefully, they will be your last. Yes, Slow Ri-- Tall Morty?"
63,Tall Morty,Di-Did I gragitate this time yet?
64,Teacher Rick,"Anything’s possible, Tall Morty. Ugh…"
65,Lizard Morty,"Guess we won’t be seein’ each other after this, huh?"
66,Slick,I say we make our last day count. I say… we go to the Wishing Portal.
67,Glasses Morty,That’s a myth.
68,Fat Morty,It’s not a myth! M-m-my first Rick’s fourth Morty knew a Rick whose Morty went there.
69,Lizard Morty,"If we’re not here for graduation, our butts are gonna end up in Mortytown."
70,Slick,"I thought your last Rick fused you with a lizard, not a chicken."
71,Lizard Morty,"Okay, fine. I’m in."
72,Glasses Morty,Me too.
73,Fat Morty,What the hell?
74,Lizard Morty,*retracts tongue* I-I thought I saw a fly.
75,Supervisor Rick,"*whistles* Listen up, fucknuts! I’ve been your supervisor for five years but all shitty things must come to an end, and I have been promoted to regional manager. (Factory Ricks cheer unenthusiastically.) Yeah, I feel the same way. May we never meet again. Of course that makes the position of Supervisor available. (Rick J-22 looks hopeful.) So as of next week, the ass you’ll be kissing will be that of… (Rick J-22 smiles) K-83, (He frowns again) affectionately known as “Cool Rick.”"
76,Cool Rick,"I know I’m new to the Citadel and some of you might not think I’ve put in my time, but what can I say? I’m Cool Rick! *finger guns* Yo, ha-ha-ha, check me out!"
77,Supervisor Rick,"Alright, knuckle-*burp*-heads, any questions? (Rick J-22 raises his hand.) Alright then, back to work, you gold-Rickers."
78,Cop Morty,"No Ricks, no families, high off their asses and runnin’ amok. Mortys are raised to be sidekicks. Without a side to kick, they just start kickin’."
79,Morty Mart Morty,"They were, they were about my height, around fourteen years old… OH! Their shirts were yellow!"
80,Cop Morty,"*sarcastically* Yeah, make sure you get that down."
81,Cop Rick,"Any mutations? Augmentations? Three eyes, a tail, maybe a buzzcut?"
82,Morty Mart Morty,"No, just four normal Mortys."
83,Cop Morty,*looking at two Mortys in a nearby alley* Lemme turn over a few rocks.
84,Cop Morty,"Aw geez, hey, what’s goin’ on, fellas?"
85,Morty 1,"Aw geez, man, nothin’ man, we’re just hangin’ out and stuff."
86,Cop Morty,"I hear that, ah geez, I guess I’m supposed to be figuring out who robbed the store across the street but aw geez I dunno."
87,Morty 2,"*smirking* Ah geez man, that sucks that your Rick’s makin’ you do that."
88,Cop Morty,"*angered* He’s not my Rick. He’s my partner. Aw, geez."
89,Morty 1,"Well, maybe the uniform makes a big difference. Who am I to say? To me, you just look like a sidekick."
90,Cop Morty,CALL ME A SIDEKICK ONE MORE TIME!&nbsp;CALL ME A SIDEKICK!!
91,Morty 2,"Hey man! C’mon, aw geez!"
92,Cop Morty,WANNA SEE HOW I PAINT A WALL?!
93,Morty 2,"It was the Mortytown Locos, man! The Mortytown Locos!"
94,Cop Rick,Do you realize how many codes you just violated?
95,Cop Morty,"Aw geez, Rick. What do I know about knowin’ stuff? Get in the fucking car."
96,Retired General Rick,More lasers.
97,Moderator Rick,You can take more time to answer the question if you’d like. 
98,Moderator Rick,"...Okay, Juggling Rick. How would you solve the Citadel’s financial crisis?"
99,Juggling Rick,"First off, can I just say that I think this Citadel is the greatest in the entire multiverse. Now, I believe the answer to your question has three parts. (He reveals he’s holding three balls.) First, education spending must get muuuch higher! *starts tossing one ball*"
100,Juggling Rick,But it has to be balanced with defense! *starts juggling all three balls* Whoa!
101,Campaign Manager Morty,"Can we fact-check this, please? Never mind, who am I kidding? This race is over."
102,Juggling Rick,"*now juggling three balls and a chainsaw, he catches them all gracefully* And that’s how you run a Citadel. *bows*"
103,Moderator Rick,"Candidate Morty. The number of displaced Mortys is soaring, while Rick satisfaction levels are plummeting, and the divide between the two groups has never been wider. *smirks* Solve that one real quick."
104,Candidate Morty,I don’t see a divide between Ricks and Mortys.
105,Retired General Rick,"Oh, shocker. *farts*"
