index,name,line
1,Morty,"Geez, I can't believe we found a version of Earth with a Ball Fondlers movie franchise."
2,Summer,I can't believe the things this reality considers PG-13
3,Morty,"Yeah, I'm pretty jealous."
4,Rick,"Don't be Morty, there are pros and cons to every reality, fun facts about this one; it's got giant telepathic spiders, eleven 9/11's, aaaand the best ice cream in the multiverse!"
5,Summer,Shut up!
6,Morty,W-whoa!
7,Rick,We're gonna go get some ice-cream motherfuckers!
8,Rick,Oh great.
9,Morty,"Oh boy. W-what's wrong Rick, is it the quantum carburettor or something?"
10,Rick,"Quantum carburettor? Jesus Morty; you can't just add a sci fi word to a car word and hope it means something. Huh, it looks like something's wrong with the microverse battery - we're going to have to go inside."
11,Morty,Uhm. Go inside what?
12,Rick,"The battery Morty. Be right back Summer; stay put, don't touch any buttons, and ignore all random thoughts that feel -- spider-y."
13,Summer,Wait! You can't leave me here!
14,Rick,"You'll be fine. Ship, keep Summer safe."
15,Ship,Keep. Summer. Safe.
16,Summer,"Egh, wonderful."
17,Man,"Hey, excuse me, hello?"
18,Summer,Uhmm...
19,Man,What you think you're better than me? Nobody's better than me! Ey! ey!
20,Summer,Agh! Aghaaaa!
21,Ship,Keep. Summer. Safe.
22,Thinner Man,"Hey man, what the hell! That was my daughter's paediatrician!"
23,Summer,"No! Stop, don't kill him!"
24,Ship,Confirmed.
25,Thinner Man,Uaghuu. Ugh. Uh. Oh God! I can't feel my legs! Help! He-elp!
26,Ship,Summer is safe.
27,Summer,I don't feel safe.
28,Ship,Confirmed.
29,Thinner Man,Oh God help me! Help me! help me please! You can help me.
30,Morty,Oh man. Where are we Rick?
31,Rick,"Morty, remember eight seconds ago when -burp- when you said 'go inside what' and I said 'the battery' and then we showed up here?"
32,Rick,"Morty, remember eight seconds ago when [Burps] when you said, ""Go inside what?"" And I said, ""The battery""? And then we showed up here, and I wasn't like, ""Whoa, this is unexpected. This is not what I was expecting, Morty. What a perplexing mystery this is."""
33,Morty,"All right, all right. We're inside the battery. I get it. You don't have to bust my balls."
34,Rick,"Huh, this isn't right. This pipe's supposed to be sending 20 terawatts of juice up to the engine, Morty."
35,Rick,Instead we've got... zero? Now what are these people doing?
36,Morty,"W-w-w-whoa, people? [Groans]"
37,Rick,"It's time for some hands-on engine repair.All right, Morty, hold on to something."
38,Morty,Whoa!
39,Morty,"Holy crap! I thought we were inside your car battery, Rick. T-t-this is like a whole p-planet or something."
40,Rick,"Thanks, Morty. I'm pretty proud of this bad boy. Check it out."
41,Rick,"I put a spatially tessellated void inside a modified temporal field until a planet developed intelligent life. I then introduced that life to the wonders of electricity, which they now generate on a global scale. And, you know, some of it goes to power my engine and charge my phone and stuff.&nbsp;"
42,Morty,You have a whole planet sitting around making your power for you? That's slavery.
43,Rick,"It's society. They work for each other, Morty. They pay each other. They buy houses. They get married and make children that replace them when they get too old to make power.&nbsp;"
44,Morty,That just sounds like slavery with extra steps.
45,Rick,"Ooh-la-la, someone's gonna get laid in college."
46,Anchor,"It appears we are being revisited by the alien known as Rick, who once gave our world the gift of gooble box technology, which, when stomped on, generates electricity, powering our homes and businesses, improving our daily lives, while safely removing the dangerous waste power to a special disposal volcano. But why has Rick returned? And what will he say when he hears the big news? Let's find out."
47,Morty,"You need to tell these people they're in a battery, Rick. It's messed up. There's caterers down there. Th-th-they're setting up chafing dishes."
48,Rick,"Would you relax, Morty? There's nothing dishonest about what we're doing. Now slap on these antennae. These people need to think we're aliens."
49,Morty,What? Why?
50,Rick,Obviously [burps] you really [burps] know nothing about car repair.
