index,name,line
1,Rick,"Anyway, that's how I escaped from space prison! Oh, scary place."
2,Morty,"Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen."
3,Rick,"Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at Shoney's? "
4,Beth,"Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home?"
5,Rick,"Emotionally speaking, honey, Shoney's is my home."
6,Jerry,"Yeah, but you just got out of prison. I mean, how much of a step up from that is -- "
7,Rick,"Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times."
8,Jerry,You got it. [ Grunting ] 
9,Rick,"Six folds, huh? W-W-What, have you guys got me in a Series 9000? You cheap insect fucks didn't think I was worth your best equipment?"
10,Cornvelious Daniel,"[ Chuckles ] Man, I told the money bugs. I said, ""You know who this guy is, right? You want me to get intel out of the smartest mammal in the galaxy, you better give me a decent brainalyzer."
11,Rick,"Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain."
12,Cornvelious Daniel,"Oh, I think you do. Eventually, you're either gonna relax your cerebellum."
13,Rick,Shoney's.
14,Cornvelious Daniel,Or the Series 9000 is going to turn it into mush.
15,Rick,Relaxed enough? [ Chuckles ]
16,Cornvelious Daniel,"I admire you, Rick--"
17,Rick,[ Laughs ] 
18,Cornvelious Daniel,When I-- [ Farts ] 
19,Rick,[ Laughs ] 
20,Cornvelious Daniel,"Rick, here's-- [ Farts ]"
21,Rick,[ Laughs ] 
22,Gromflomite Captain,What's going on? 
23,Gromflomite Worker,It's hard to tell. He may have manifested some sort of butt.
24,Gromflomite Captain,He can do that?
25,Gromflomite Worker,He is the smartest man in the universe.
26,Jerry,"[ Sighs contently ] I tell ya, the Galactic Federation taking over Earth -- best thing that's ever happened to this family. I just got my sixth promotion this week, and I still don't know what I do."
27,Summer,Who cares how high they promote you? Everyone just gets paid in pills.
28,Jerry,"Well, when you're not sure what you do for a living, you can make your own rules."
29,Beth,"Summer, show your father some respect. He's pulling down a six-chewable figure income."
30,Conroy,"I'll get that in a moment. How are everyone's pills? Oh, Morty, you've hardly touched your pills."
31,Morty,"I kind of had big pills for lunch, and I [muffled] wasn't gonna eat any more pills. [ Gulps ] Thank you, Conroy."
32,Jerry,"You spoil us, Conroy."
33,Summer,[Slams hands on table] Grandpa Rick wouldn't put up with this!
34,Beth,[Bangs fist on table] Stop saying his name! He abandoned us.
35,Jerry,[Bangs fist on table] Willem Dafoe! Th-That's the guy I couldn't think of this morning.
36,Beth,"Don't make my mistake, Summer. Don't deify the people that leave you. You'll end up a horse surgeon in a world controlled by aliens whose medicine keeps horses [ Sobs ] healthy forever. [ Sniffles ] Horses live longer than tortoises now. Is that what you want for yourself? "
37,Summer,Maybe I just want you to care if I run away yelling! 
38,Conroy,Who saved room for pill brûlée? 
39,Jerry,Ooh! [ Chuckles ] 
40,Convelious Daniel,"I can see why you chose this family-friendly restaurant to represent your cerebellum. So safe, so comfortable, so Shoney's. But admit it, Rick -- you're going crazy cooped up in here. Let's go visit some memories."
41,Rick,"Oh, any particular ones? You want to see my first boner, or should we go straight to the moment I discovered interdimensional travel? "
42,Cornvelious Daniel,[ Squeals ] 
43,Cornvelious Daniel,"It's arousal. Yes, I'd like very much to visit the memory of you inventing your portal gun."
44,Rick,"Yeah, well, tough titties."
45,Convelious Daniel,"There's no tougher titty than a psychotic break, Rick."
46,Rick,"Well, that depends on who breaks first -- me or the titty."
47,Cornvelious Daniel,Someone special you remember? Is that your memory of her out there -- between where you were on 9/11 and your favorite sports blooper?
48,Cornvelious Daniel,"If we stay here, you'll die, along with all your memories. If you take me where I want to go she'll be there, too, won't she?"
49,Rick,The day I invented the portal gun is the day I lost her.
50,Cornvelious Daniel,"Oh, that sounds cool. I can get what I want and you can say goodbye."
51,Rick,"[ Sighs ] Fine, but I'm driving."
52,9/11 Memory Rick,--as an excuse to strip away our freedom!
53,Morty,Huh? What are you -- What are you doing? 
54,Summer,"Grandpa Rick must have some secret lab, right? With, like, laser guns and jets packs and a space tank! And we can go break him out of prison! Look at these dead flies! Maybe if we arrange them in a certain order, it plays a hologram or it opens a secret door."
55,Morty,"Summer, you're freaking me out. I know things have changed a lot, and I know you miss Rick, but getting him back wouldn't make things better. And, you know, we're not doing so bad."
56,Summer,"We're miserable, Morty! There's a mandatory curfew, their weird calendar made me 47, and they weaponized the Eiffel Tower!"
57,Morty,"Hey, I like being 35. I-I can rent a car now."
58,Summer,"Because you suck! You've been keeping your lip zipped about it since Grandpa got arrested, but the fact is, you're freaking stoked to bail on him."
59,Morty,"He bails on everybody! He bailed on Mom when she was a kid! He -- He bailed on tiny planet! And in case I never made this clear to you, Summer, he bailed on you. He left you to rot in a world that he ruined because he doesn't care! Because nobody's special to him, Summer, not even himself. So, if you really want your grandpa back, grab a shovel. The one that won't let you down is buried in your backyard! "
60,Summer,You're right! 
61,Morty,"What?! No, I'm not right. I-I was using ghoulish overkill! Ghoulish overkill, Summer! "
62,Morty,"Oh, God! Oh, God! Whoa, whoa! "
63,Cornvelious Daniel,Where are we going? 
64,Rick,To the day it all began and ended. The moment that changed everything.
65,McDonald's Drive-thru speaker,Welcome to McDonald's. Can I take your order?
66,Rick,"Yeah, I'd like to get a 10-piece McNugget and a bunch of the Szechuan sauce. Like, as much as you're allowed to give me. In 1998, they had this promotion for the Disney film ""Mulan,"" where they -- where they -- they created a new sauce for the McNuggets called Szechuan sauce, and it's delicious! And then they got rid of it, and now it's gone. This is the only place we're gonna be able to try it, is in my memory."
67,Cornvelious Daniel,"Rick, you're doing this bit while your brain is melting."
68,Rick,"Okay. All right, all right."
69,Cornvelious Daniel,Is that--
70,Rick,Me. I used to wear blue pants.
71,Cornvelious Daniel,When'd you make the leap to interdimensional travel?
72,Rick,I didn't. I did.
73,Alternate Rick,"Well, well, well. If it isn't us. You know the worst part about inventing teleportation? Suddenly, you're able to travel the whole galaxy, and the first thing you learn is, you're the last guy to invent teleportation. Fortunately, you're about to invent something much more powerful."
74,Cornvelious Daniel,[ Squeals ] 
75,Young Rick,What? 
76,Morty,"Summer, nobody has to know about that. We could put it right back and pretend we never saw it, like we did with Dad's mannequin leg."
77,Summer,"Fine, stay here. I'll rescue Grandpa myself."
78,Morty,And how are you gonna do that? 
79,Summer,I don't know yet. I'll make it up as I go. That's what Grandpa Rick does. That's what heroes do.
80,Morty,"Y-You want to see what a hero Rick is? I-I'll bring you somewhere, Summer. Um- "
81,Conroy,"My goodness, children. [ Stern robotic voice ] Relinquish the illegal technology to the nearest Federation representative. [ Normal voice ] And then we'll all play Balderdash."
82,Conroy,"Oh, my goodness! Oh, oh! My goo-- [ Crackling ]"
83,Summer (C-137),"Oh, my God. I have that exact same top."
84,Summer,"What is this place? And what's with ""Hunger Games"" Summer?"
85,Morty,That's my sister. This used to be my home.
86,Alternate Rick,"Imagine doing anything you want, then hopping to a timeline where you never did it. Imagine going anywhere, anytime, with nobody able to stop you."
87,Young Rick,Sounds lonely.
88,Alternate Rick,"Lonely? Dude, you have yourself -- your infinite selves. It's a nonstop party where all the guests are the only person we like. You think it's cool being the smartest man on Earth, but once we give you this technology, you become the smartest thing in every conceivable universe -- the Infinite Rick, a god."
89,Young Rick,"Eh, pass."
90,Alternate Rick,"Excuse me? Bro, Ricks don't pass on this. Who do you think you are?"
91,Young Rick,"A different kind of Rick, I guess."
92,Alternate Rick,"Well, we'll see how long that lasts."
93,Diane,I heard sci-fi noises. Did you make a breakthrough?
94,Young Rick,"Sort of. I just took a long look at myself, and I don't think this science thing is gonna pay off."
95,Diane,"Well, why don't I get Beth and we'll go out for ice cream?"
96,Young Rick,"That, Dianne, is the last great idea that will ever be had in this garage."
97,Summer,"Good roasted Cronenberg, I assume. Mom, you're looking feral. I can't believe Rick did this."
98,Morty,"These are the parts of Rick's adventures you don't get to see -- the parts he leaves behind. All right, it's been great, guys. I really only wanted to stop by here for a quick ""I told ya so."" So, uh--"
99,Jerry (C-137),Looking for this? 
100,Morty,What are you doing with that?! 
101,Jerry (C-137),It stinks of Rick. [ Grunts ] 
102,Morty,No! Why?! Why would you do that?! W-W-What is the matter with you people?! 
103,Jerry (C-137),You can never leave. She cannot remain.
104,Summer (C-137),She stinks of Rick.
105,Morty,Hold your fire! Hold your fire! I'm Morty C-137.
106,Guard Rick,We detected a compromised portal gun. Where is your Rick?
107,Summer,He's in prison.
108,Morty,Summer.
109,Summer,He got captured by the Federation and we were going to rescue him.
110,Guard Rick,Very troubling. We can't risk Citadel secrets falling into the Federation's hands. We'll dispatch SEAL Team Ricks immediately to break into the prison holding C-137.
111,Summer,Boo-yah!
112,Guard Rick,Aand assassinate him.
113,Summer,Boo-nah? 
114,Young Rick,"Come on, girls! The ice cream's gonna melt."
115,Cornvelious Daniel,[ Munching ] 
116,Young Rick,Nooooooo!
117,Cornvelious Daniel,Wow. This sauce is fucking amazing. You said it was promoting a movie? [ Slurping ]
118,Young Rick,"Carry the three, add a two. I got it. I fucking got it."
119,Cornvelious Daniel,"Whoa. I-Is that it, the portal gun?"
120,Rick,Yeah. That's the three lines of math that separates my life as a man from my life as an unfeeling ghost.
121,Cornvelious Daniel,"Awesome-possum. [ Whirring ] Mission Control, you getting this?"
122,Gromflomite Worker,"Holy shit, yes! Yes, we got it!"
123,Cornvelious Daniel,"Yeah! Thanks, Rick. I'll try to remember to shut off the brainalyzer. Actually, I think it shuts off automatically once your brain is liquid. Don't know, don't care. Pull me out. [ Beat ] Hey, pull me out! Can you hear me?"
124,Rick,"Nope, they cannot."
125,Cornvelious Daniel,Why not?
126,Rick,"Because the code you just uploaded wasn't actually my portal-gun formula, it was a virus giving me full control over the brainalyzer."
127,Cornvelious Daniel,What are you talking about? This is a memory. Y-You can't alter details of a memory.
128,Rick,"True, but you can alter anything you want about a totally fabricated origin story."
129,Cornvelious Daniel,It's a trap! Abort! I'm still in his Shoney's! Repeat -- we never left his Shoney's!
130,Rick,"Mission accomplished, boys. Pull me out."
131,Gromflomite Worker,Roger that.
132,Rick,"Okay, have fun in what's left of my brain. I'm gonna transfer to yours. Oh, there's not enough room for all my genius, so I'm leaving you with my fear of wicker furniture, my desire to play the trumpet, my tentative plans to purchase a hat, and six years of improv workshops. Comedy comes in threes."
133,Cornvelious Daniel,It's a trap! Abort! We never left his -- [ Farts ] [ Rick laughs ] No!
134,Cornvelious Daniel/Rick,"Another day, another dollar. Am I right great insect creature or whaaat?!"
135,Gromflomite Captain,"Congratulations, Agent. You'll be highly commended for this."
136,Cornvelious Daniel/Rick,Always wait for permission to [burps] feel accomplishment. That's my motto.
137,Gromflomite Captain,One thing still perplexes me -- why would Rick Sanchez turn himself in? 
138,Cornvelious Daniel/Rick,"Well, I'm just a dumb-ass bug, but it's possible Rick knew he'd be interrogated at this facility, where we not only keep our most wanted, but our most sensitive data. Anyone here with level-nine access could [burps] I don't know, collapse a government. I'm just gonna go take a dump. Is it cool if I use the level-nine bathroom? W-W-What's the level-nine master access code again?"
139,Gromflomite Worker,"Oh, that's easy. 8-3--"
140,SEAL Team Rick leader,Yeah! SEAL Team Rick's in the house! 
141,SEAL Team Rick leader,"D-99, y-you okay?"
142,Rick (D-99)/Rick,I'm bummed I didn't get to give that insect dick a test-drive.
143,Braided Rick,"Wait, wait, wait, wait! T-The Council of Ricks sent us. We have your Morty and Summer. They're prisoners on the Citadel. "
144,Rick(D-99)/Rick,Great!
145,Braided Rick,[ Grunts ]
146,Speaker system,Security breach in room 6755.
147,Rick(D-99)/Rick,"Lovely. Not only is my plan screwed up, I also forgot how to improvise."
148,Speaker system,All security people approach.
149,Rick(D-99)/Rick,[ Grunts ]
150,Speaker system,Security breach.
151,Summer,A city of Grandpas?
152,Morty,It's the Citadel of Ricks. All the different Ricks from all the different realities got together to hide here from the government.
153,Summer,"But if every Rick hates the government, why would they hate Grandpa?"
154,Morty,Because Ricks hate themselves the most. And our Rick is the most himself.
155,Guard Rick,"Not anymore, homey. SEAL Team Ricks turned his unibrow into two brows -- with a bullet. [ Laughter ] Your Rick's dead! Your Rick's dead! "
156,Worker Rick,"Sir, Rick D-99 is returning from the mission alone. Apparently, SEAL Team Ricks suffered heavy casualties."
157,Commander in Chief Rick,Bring him in.
158,Worker Rick,He says he'll only talk to a Rick with higher clearance.
159,Commander in Chief Rick,"La-di-da. Give me that. D-99, this is the commander in chief of the Citadel's militia."
160,Rick(D-99)/Rick,Go[burps] -- good enough.
