index,name,line
1,Jerry,"Steve, I just got a weird e-mail. Did you buy us airline tickets?"
2,Uncle Steve,"Aw shoot, it was supposed to be a surprise! I wanted to thank you for letting me live here all this time, so I'm treating the family to a vacation!"
3,Beth,"Steve, you're so sweet!"
4,Morty,Thanks Uncle Steve!
5,Summer,Best uncle ever!
6,Uncle Steve,"Look out world, the Smith family is goin' to Paris!"
7,Summer,(offscreen) Yeah! Awesome!
8,Jerry,"Rick, I don't like glowing rocks in the kitchen trash."
9,Rick,"Well, I don't like your unemployed genes in my grandchildren, Jerry. But life is made of little concessions."
10,Jerry,"I, you know what, I-"
11,Uncle Steve,You're gonna land on your feet Jer. Some company out there's gonna thank they're lucky stars they hired my little brother.
12,Rick,Who the fuck are you?
13,Jerry,"My goofy brother Steve. He's been living here almost a year now, are you losing your mind?"
14,Uncle Steve,"Hey someone's been spending too much time around glowing rocks am I right? (Everybody except Rick laughs, Rick shoots Steve in the head)"
15,Morty,"What the hell, Rick? What the hell?"
16,Rick,"Everybody just relax for a second. There's no such thing as an ""Uncle Steve."" That is an alien parasite."
17,Jerry,But I've known him my whole life!
18,Rick,"No, you haven't Jerry. These telepathic little bastards, they embed themselves in memories they use those to multiply, spread out, and take over planets. It's disgusting."
19,Morty,Steve wasn't real?
20,Rick,"He's a real piece of shit! This is a big one, someone probably tracked in last week on the bottom of their shoe or on a piece of alien fruit."
21,Summer,Someone?
22,Rick,"Get off the high road, Summer. We all got pink eye because you won't stop texting on the toilet."
23,Morty,But Uncle Steve taught me how to ride a bike.
24,Rick,"No, ""Steve"" put that memory in your brain so he could live in your house, eat your food, and multiply. We could be infested with these things, so we gotta keep an eye out for any zany, wacky characters that pop up."
25,Mr. Poopybutthole,"Ooh wee, whatever you want Rick! We're here to help!"
26,Rick,Thanks Mr. Poopybutthole. I always could count on you.
27,Rick,"Alright, there's six of us and that's it. Me, Morty, Jerry, Beth, Mr. Poopybutthole, and Summer."
28,Mr. Poopybutthole,Maybe you got the first one in time Rick!
29,Rick,Can't afford to chance it.
30,Beth,"Dad, why does our house have blast shields?"
31,Rick,"Trust me, Beth, you don't wanna know how many answers that question has."
32,Poopybutthole,"Ooh, gosh, it feels"
33,(Flashback,The family is stuck in an elevator. Jerry is wearing Hulk gloves and punching the elevator buttons. Morty is holding his crotch trying not to pee himself.)
34,Beth,"Jerry, buttons don't work"
35,Jerry,I know. Friends make you
36,Rick,Why couldn't I bring my portal gun?
37,Morty,"Why did all the drinks have to be extra large? Oh, the Hulk. I just got that."
38,Summer,"Just pee your pants. I did it the minute we got stuck. (all stare at Summer) Oh, oh, yeah, yeah, shame me. At least when I'm"
39,Mr. Poopybutthole,"Oh, y'all, we're gonna"
40,Nicky,Somebody call for repairs?
41,All,Yay! Cousin Nicky!
42,Nicky,"It's me, Cousin Nicky. I'm walkin' here! I mean, I'm not. I'm crouched in the elevator"
43,Nicky,"It's true. We really do get into some crazy situations as a family, mostly when we're cooped up like this. Hey, maybe Mr. Poopypants is right. L-let's get some fresh air."
44,Morty,"Come on, cousin Nicky. You"
45,Nicky,"I hear you, Morty. Back in"
46,Jerry,"Nicky! (Rick shoots Nicky in the shoulder, and he reverts back into a parasite)"
47,Nicky,Oh! ( gasps ) ( groaning )
48,Morty,What the...? Cousin Nicky was a parasite?!
49,Rick,"Six, Morty! There's supposed to be six of us! If there's seven, then that means somebody's not real."
50,Beth,But how did you know it was Nicky?
51,Rick,I guessed. That's why I aimed for his shoulder.
52,Beth,So we can't trust any of our memories now? Nicky was the reason we found that old nazi submarine. Did that not even happen?
53,Jerry,"Well, of course it happened."
54,(Flashback,"Morty, Rick, Jerry, Beth and Nicky are tied up, a Nazi stands before them)"
55,Nazi,"Now that I possess the mighty staff of Rah-gubaba, the world will tremble before the Fourth Reich!"
56,Morty,"This is the last time I ask you for help on my history final, Rick."
57,Nicky,"Hey, we got a word for Nazis back in Brooklyn, pal."
58,Nazi,"I'm comfortable being called a Nazi. You think there's some other word that will hurt my feelings? (Hits Nicky on the head) Yeah. Think before you talk shit. Rah-gubaba, help me kill America! (Mr. Beauregard knocks out the Nazi)"
59,All,Mr. Beauregard!
60,Mr. Beauregard,"After due consideration, I have elected not to retire."
61,All,"Yeah! Oh, thank god!"
62,Mr. Beauregard,"Now, I believe someone has a final exam to attend. Set a course for Morty's high school. "
63,Mr. Beauregard,"Perhaps I'm biased, but if that story never happened, then I wouldn't still be the family butler. ( chuckles ) dare to dream."
64,Rick,Wait.
65,Summer,"And if Mr. Beauregard wasn't our butler, it's safe to say the family'd be in a hell of a lot of trouble. ( laughter )"
66,Rick,No! Don't flashback!
67,(Flashback,Jerry has his head stuck in the staircase railing)
68,Summer,You're just gonna make more swelling.
69,Beth,"Don't worry, Jerry. Just relax. We called the fire department."
70,Jerry,You know they won't come here anymore. ( grunting )
71,Mr. Beauregard,Marmalade is served. (everybody cheers)
72,Frankenstein,I guess I take back what I said about British cuisine. ( laughter )
73,(Flashback,"Rick, Summer, and Mr. Beauregard are having a pillow fight)"
74,Rick,Take that!
75,Sleepy Gary,We're trying to sleep.
76,(Flashback,"Morty is in the living room with Beth, Jerry, and Sleepy Gary)"
77,Morty,I don't want to go to the dance alone.
78,Mr. Beauregard (Off-screen),"Then perhaps, you shouldn't."
79,Beth,Aww. Mr. Beauregard.
80,Mr. Beauregard,"Shall we, master Morty?"
81,Morty,We shall.
82,Beth,"Oh, wait, don't leave without letting Photography Raptor take a picture. ( raptor screeches ) ( camera shutter clicks )"
83,Rick,"Everybody stop remembering! These parasites are like bed bugs, and every flashback is another mattress. Look! There's only supposed to be six people in this house."
84,Rick,"No! Uh, the fact that I wrote this number down means that there's four parasites."
85,Frankenstein,"You sure about that, Rick?"
86,Mr. Beauregard,"Begging your pardon, master Rick, but I seem to recall a great deal of confusion surrounding that number."
87,Rick,"All right, there's six of us, ( belches ) and that's it. Me, Morty, Jerry, Beth, Mr. Poopybutthole, Frankenstein, Sleepy Gary, Photography raptor, Mr. Beauregard, and Summer."
88,Beth,"Uh, dad, that's like 10 people."
89,Rick,"6, 10, what's the difference? I just love the number 6 for no reason! Where's my pencil at?"
90,Pencilvester,"Right here, Rick! Use me!"
91,Rick,"Oh, thanks, Pencilvester! (writes the number 6 again) Yeah,I-I g-- I guess that is what happened, but I-I don't get why I would do that."
92,Pencilvester,"Everybody makes mistakes, Rick. Why do you think I have one of these? ( laughter, camera shutter clicks )"
93,Beth,"That's it. Photos. Hard evidence. (Beth scrolls through photos, becomes suspicious) You're not in any of my photos, Mr. Poopybutthole."
94,Mr. Poopybutthole,"Well, what do you know about this? You're not in any of mine."
95,Summer,All I have are pictures of me and my friends from school. (everybody else stares at Summer) What? What teenage girl has pictures of her family? It's not like we're Mormon or dying.
96,Frankenstein,I will admit it's suspicious that Summer's only friend is a magic ballerina lamb that we've never seen.
97,(Summer flashes back,Summer is asleep in her room and Tinkles flies in.)
98,Tinkles,Summer!
99,Summer,Tinkles! It's past my
100,Tinkles,( giggles ) Not in never past bedtime land! Here we go!
101,Summer,Ooh! Ooh! Ooh! Ooh! Ooh! Ooh! Ooh!
102,Gary,"Summer, we're trying to sleep."
103,Summer,It was Tinkles! Tinkes?
104,Rick,"That is su-- [belches] -- suspicious. We're always hearing about this Tinkles character, but we never get to –"
105,Tinkles,"Hi, everybody. I'm Tinkles, and these are my friends. ( all sigh )"
106,Summer,"See, everyone? Tinkles is real. That means so am I."
107,Frankenstein,I was on the wrong side of the pitchfork on this one.
108,Jerry,"Okay, look, we shouldn't need evidence or logic to know who's family and who isn't. I know who the Smiths are. I've known Beth since high school. And her husband, Sleepy Gary, is hands down my absolute best friend."
109,Sleepy Gary,"Thanks, Jerry. Beyond that, no offense to any of you, but all bets are off."
110,Rick,"Look, I'm not used to being this unsure for this long. I'm just gonna aim for shoulders starting with the weird girl. (Tries to shoot Summer)"
111,Summer,Aah! Grandpa Rick!
112,Rick,"(with air quotes) Hold still, ""Summer."""
113,Gary,"Rick, that is my daughter."
114,Rick,"Oh, yeah? Well, what if you just think that, Sleepy Gary? I've known you for 15 years. Don't make me hurt you."
115,Sleepy Gary,"Rick, these are our family and friends, the people we barbecue with. Have you forgotten the barbecue?"
116,Rick,"Wait, why would you want me to -- You're one of them, aren't you?"
117,Hamurai,"Rick, you love those barbecues, Rick. You love them. Hai!"
118,Amish Cyborg,"Remember it, Rick?"
119,Rick,"Shut up, Hamurai! Shut up, Amish Cyborg! What is this? '90s Conan?"
120,All,Remember the barbecue. Remember the barbecue. Remember the barbecue.
121,Rick,"You know what, Pencilvester? It took me my whole life to realize it, but I love barbecuing."
122,Pencilvester,"You're good at it, Rick."
123,Rick,"Watch me, baby. I'm like Tom Cruise from, um, ""Cuisine"" or w-whatever that movie's called where he makes drinks. Yeah, check me out. I'm like Tom Cruise from ""Cuisine."" ( chuckles ) Yeah. Is that what it's called? ""Cuisine""?"
124,Pencilvester,"Wow! Hey, everybody. Let's give it up for the grill master, Rick! Rick! Rick! Rick! ( all chanting ""Rick"" )"
125,Rick,"Wait. (cut back to the present, breathing heavily ) Noooooo! Shoot. Now look. It's like a ""Where's Waldo?"" page. Can you find me? Check out all these zany characters. We'll be right back after these messages."
126,Sleepy Gary,I think you should put down the gun and we should get you to a doctor. What do you say we take down these blast shields?
127,All,Yeah.
128,Rick,"Can't do that, Sleepy Gary. All right, everybody listen to me. I don't know if any of you guys are real, but this house has been infested with fake loved ones that spread through fake memories, and our planet will be destroyed if they get out. ( grunts )"
129,Pencilvester,"But Rick, even you have to admit you do tend to overreact to stuff."
