index,name,line
1,Rick,"Don't let any of those things get away, Morty. If their DNA gets into Earth's food chain, our entire species could be sterilized."
2,Morty,Then why aren't we killing them?!
3,Rick,"Great. Next time I need a species sterilized, who's gonna do it for me? You?"
4,Morty,"Oh, Rick! I-Is that the Vindibeacon? We're being called to assemble by the Vindicators!"
5,Rick,"I refuse to answer a literal call to adventure, Morty. Let it go to voicemail!"
6,Morty,"Rick, the Vindicators only call when the universe itself is at stake! They're first line of defense against evil! They're the guardians of the unguarded!"
7,Rick,"They're the writers of their own press releases, Morty! They're a bunch of drama queens that spend an hour talking and twenty minutes jumping around while shit blows up. They're a phase. We did one, it was the big event of that summer. Let it die."
8,Morty,"I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures. [holds up a ""Morty Adventure Card"" with ten squares and all but one containing a Morty-shaped stamp mark] Read 'em and weep."
9,Rick,God... fuckin' dammit! [takes the card] Fine! But don't say I didn't warn you. [stamps the remaining square]
10,Morty,"[excited] Yes! [presses a button on the Vindibeacon and speaks into it] Vindicator command ship, beacon received! We're doing Vindicators Twoooooooooo!"
11,Rick,"Whoops! Uh, Morty, you might want to freeze some sperm."
12,Supernova,"[voiceover] Vindicators, Worldender is back..."
13,Supernova,"..and this time, he's out to end more than worlds. We have reason to believe his stronghold is located on..."
14,Rick,[interrupting] My balls.
15,Morty,Rick!
16,Supernova,"...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base."
17,Rick,"Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man."
18,Morty,"Rick, stop!"
19,Supernova,"Rick, you have something to add to the briefing?"
20,Rick,"Uh, yeah, just a few more design notes. [points to Crocubot] Um, this guy. The, uh... The, uh..."
21,Crocubot,I am Crocubot.
22,Rick,"[laughs] Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine."
23,Crocubot,Yes.
24,Rick,"So, you're origin is what? Y-You fell into a vat of redundancy?"
25,Noob-Noob,[sweeping up in the background; snickers] Got damn!
26,Supernova,"Noob-Noob, we're having a briefing! [to Rick] If I can continue, Rick. I anticipate sophisticated security measures. I trust you can be of service there."
27,Rick,"Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me."
28,Alan,I wish he had the ability to check is attitude.
29,Rick,"Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle!"
30,Noob-Noob,Got damn!
31,Rick,"Thanks, Noob-Noob! This guy gets it."
32,Morty,"Vance Maximus, Renegade Star Soldier!"
33,Vance,Sorry I'm late. It was happy hour.
34,Morty,[laughing] Happy hour.
35,Rick,"Uh, I was also late because of my drinking and mentioned it to zero applause."
36,Vance,"Rick Sanchez, Tinkerer of Terror. Man, that's hard to say. And... Morty, right?"
37,Morty,"Whoa, yeah!"
38,Vance,"I never forget a kid. [to everyone] What do you say, Vindicators? Let's make this three for three?"
39,Morty,"Did he say ""three for three""?"
40,Rick,Did he say he never forgets a kid?
41,Morty,"You mean ""two for two"", right, Vance?"
42,Supernova,"Actually, we assembled a second time last summer to fight Doomnomitron."
43,Morty,"So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us?"
44,Million Ants,[beat] I sense... insecurity.
45,Vance,Are you sure there's not just a picnic nearby.
46,Rick,"I guess he found his crowd. Pretty toothless stuff, guys."
47,Rick,"[spits into the sink and exits the bathroom] I hope you're happy with the adventure so far, Morty. These guys are even lamer than last time."
48,Morty,"We weren't here ""last time"", remember? They did a whole Vindicators without us. A bunch of them got killed, too. They lost Lady Katana, Calypso, Diablo Verde..."
49,Rick,"Yikes. Yeah, things did feel less diverse in there. [goes back into the bathroom and continues brushing]"
50,Morty,"This article says the reason we weren't involved was... ""personality conflicts""."
51,Rick,"Don't worry, Morty, they love you. Superheroes need a wide-eyed unremarkable to tag along and react to everything like it's mind-blowing."
52,Morty,I... think the personality conflict might have been... you.
53,Rick,"[spits] Jesus... How awesome is that? I mean, they wanted to not need me so bad, they murdered three innocent heroes of color, and they still had to bring me back?"
54,Morty,"Rick, since it's my adventure and all, could you do me a favor? "
55,Rick,"Uh, the adventure is the favor, Morty. Me sleeping on these linens is the favor. I mean, w-w-w-what--what are we vindicating? Comfort?"
56,Morty,"Rick, this really bums me out. It-It's embarrassing to find out these guys don't like us."
57,Rick,"Why? Morty, [burp] I defeat gagoos more powerful than these guys every week."
58,Morty,"Yeah, but not heroes."
59,Rick,"Oh, please. They just call themselves heroes so they can..."
60,Morty,"I'm calling them that, Rick! They're my heroes! Mine! [angrily lies down in his bed]"
61,Rick,Huh... no accounting for taste. I'm gonna go get a drink.
62,PA System,"Good morning, Vindicators. Ship has arrived at Terraneus system. All Vindicators report to the... briefing room. The--The room from the, uh... the... Uh, it's the d--It's a different room than--than... conference room. I'm sorry, it's my first day as a PA system. First day jitters. [imitates radio crackle]"
63,Morty,"[mortified] Oh, God."
64,Supernova,"Good morning. Looks like your grandpa had a long night. Crocubot, why don't you escort Mr. Sanchez to a more comfortable spot so that someone can... [sigh] clean up his diarrhea."
65,Noob-Noob,"Whoa, I'm nervous about my first mission."
66,Supernova,"Actually, Noob-Noob, you have a new mission. [makes the guns and ammo disappear and conjures a mop]"
67,Noob-Noob,[sadly] Got... damn.
68,Supernova,"Vindicators, prepare for arrival."
69,Vance,"Morty, the Vindicators and I had a chat this morning and I'm afraid we need to make a little change."
70,Morty,[sigh] I-I totally get it. I-I'm so sorry.
71,Vance,"You should be. [opens a locker, takes out a blue Vindicator vest and tosses it to Morty] Running around in a yellow t-shirt like you're not one of us? Disgraceful. "
72,Morty,[tongue-tied] I-I-I... I'm not a superhero.
73,Vance,"Cop a squat, chief. [they sit down] Everyone in the universe is a hero. All you have to do is know the difference between good and bad, and root for good."
74,Morty,"Rick says ""good"" and ""bad"" are artificial constructs."
75,Vance,"Yeah, well, I get the feeling... he kind of needs that to be the case. [to Noob-Noob] Not coming, Noob-Noob?"
76,Noob-Noob,"[slips on some diarrhea] Ohh! No, uh, I... I got stuff to do here."
77,Vance,"Security drones, inbound."
78,Supernova,"Star Mother, grant me your wrath! [echoes]"
79,Alan,All aboard!
80,Million Ants,Aah! [goes back and faces the team] Gun turret.
81,Supernova,Are you all right?
82,Million Ants,Yes. I only lost 400 ants. My queen is laying more. [his holes are now gone] I am back to one million ants.
83,Supernova,Someone wake up Sanchez.
84,Rick,"Ugh! Oh, Christ..."
85,Supernova,"Rick, you're up."
86,Rick,Barely.
87,Supernova,"Rick, we're taking fire from an automated turret. Can you bring it offline?"
88,Rick,Uh-huh.
89,Rick,"Uh, my God, that's better."
90,Supernova,RICK!
91,Rick,"Hey, I can't help if I can't see."
92,Alan,I could've just used a ghost train.
93,Rick,"Really? You don't say. You would have used a ghost train? [sarcastic] Hey, everybody, the ghost train guy would have used a ghost train!"
94,Alan,"Man, fuck you."
95,Rick,"Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing?"
96,Morty,[annoyed] Get it yourself.
97,Rick,"Little extra [burp] snippy this morning, aren't you?"
98,Morty,"Just focus on the mission, all right?"
99,Rick,"[sarcastic] Oh, oh, oh, I'm sorry. Oh, you're right. Ooh, real serious. Gotta take it real serious, huh? [makes a gun sign with his hand and moves forward]"
100,Alan,[gasp] Son of a steam engine! They're all dead!
101,Crocubot,Why would Worldender do this to his own men... and several women?
102,Vance,"Well, he is the Worldender. The guy ends worlds. Kind of his thing."
103,Rick,"[still sarcastic] Ooh, real scared. Real fucking on alert, high alert over here."
104,Vance,What the FUCK?!
105,Supernova,It's Worldender! What happened to him?
106,Worldender,"[weak, pain-filled moan]"
107,Million Ants,I sense his life force is fading.
108,Rick,"Million Ants, ladies and gentleman! The ant colony with the power of two human eyes!"
109,Rick,"All right. Short mission, good mission. Remember when Alan wanted to use a ghost train? See you guys in Vindicators 4. Morty?"
110,Morty,"Rick, whoever did this is an even bigger threat than Worldender! We can't leave now!"
111,Supernova,He's right. This is far from over.
